year,day2_quality_flag,selected_sensors,selected_scene_count,coverage_at_least_1_core_pct,coverage_at_least_3_core_pct,median_observation_count,ndbi_otsu_threshold,valid_area_core_pct,raw_built_cells_core,raw_built_area_ha_core,raw_built_fraction_core,final_built_cells_core,final_built_area_ha_core,final_built_fraction_core,persistence_corrected_cells,persistence_corrected_area_ha,ibui_raw_built_fraction_core,ndbsui_raw_built_fraction_core,ibui_otsu_threshold,ndbsui_otsu_threshold
2000,PASS,LE07,11,99.26653753767252,26.332606810491793,2.0,-0.1406589466877592,99.26653753765147,113044,10162.435885619112,0.3533482923798487,113044,10162.435885619112,0.3533482923798487,0,0.0,0.3259227686716593,0.36383841060311656,-0.03128487276649813,-0.06835142346372955
2001,LIMITED,LE07,13,78.75243700287149,14.703955755338164,1.0,-0.10941434482857834,78.75243700287149,85571,7692.702543558709,0.33714986469415853,100266,9013.745249098114,0.3950475107952353,14695,1321.0427055394073,0.32718772409963115,0.314784680859486,0.04687672333089472,-0.05860480841383628
2002,LIMITED,LE07,13,86.37344907835039,17.96439136058174,2.0,-0.1484418749295125,86.37344907832933,115671,10398.71948951531,0.4155350411308649,138872,12484.490399520335,0.4988828900417213,23201,2085.7709100050265,0.3690228741038802,0.41440240989206534,-0.07812725771604301,-0.06639406193805264
2003,LIMITED,LE07,15,86.93944573205418,22.711251389657725,2.0,-0.14063765973989034,86.93944573205418,113958,10244.69623434709,0.40671507552386815,150430,13523.489251737705,0.5368833615511546,36471,3278.7930173906157,0.38419379774028284,0.40169282422498254,-0.04687042275942641,-0.070322859299218
2004,LIMITED,LE07,5,80.8064778723658,11.147951969268505,2.0,-0.05859036726489822,80.8064778723658,122923,11050.598568392477,0.4720061715709429,151479,13617.82524919965,0.5816605789465286,28556,2567.2266808071718,0.45296582653931067,0.41941042985672655,0.09368779459036615,-0.04296573985633106
2005,PASS,LE07,13,96.45939579303916,32.22456420340849,2.0,-0.10934639205616249,96.45939579303914,120760,10856.15575144895,0.38845398417350857,182407,16398.204592538943,0.586759075044948,61647,5542.0488410899925,0.359293420786876,0.4258593795756976,0.031203142239953165,-0.06641534139301228
2006,PASS,LE07,9,99.03040480469936,56.70594469189848,2.999999999999999,-0.08596052425275988,99.03040480469937,141225,12695.914292770996,0.44249001956281886,190014,17082.069638588102,0.59536045646245,48789,4386.155345817106,0.4301859931104178,0.4244351777564727,0.07806706390319482,-0.058571411159100556
2007,LIMITED,LE07,14,92.98774405542922,46.09557307387806,2.0,-0.07815466133518537,92.98774405542922,133234,11977.499069465046,0.4445785306587966,184112,16551.43051658634,0.6143528475092399,50878,4573.931447121296,0.4451294436574781,0.4398418356345611,0.031183991848543303,-0.05079559970813015
2008,PASS,LE07,10,99.2158124984066,42.033230531862195,2.0,-0.054677480911238655,99.2158124984066,172438,15501.84572535477,0.5392753497297371,206680,18580.273827230154,0.6463671387120911,34242,3078.4281018753823,0.5290249411871459,0.4748394024213806,0.11714579201230763,-0.039059796103512054
2009,PASS,LE07,11,97.54274342712856,34.86367182841514,2.0,-0.09372755711824246,97.54274342712856,154970,13931.504531374296,0.4929593477603618,205762,18497.75948752825,0.6545340046700934,50792,4566.254956153948,0.48000618953367924,0.4724651254721971,0.02345095412253152,-0.050779274092271294
