year,index_name,threshold,mapping_method,mapping_validation_status,source_composite_asset,source_count_asset
2000,ndbi,-0.1406589466877592,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2000,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2000
2000,ibui,-0.03128487276649813,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2000,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2000
2000,ndbsui,-0.06835142346372955,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2000,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2000
2001,ndbi,-0.10941434482857834,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2001,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2001
2001,ibui,0.04687672333089472,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2001,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2001
2001,ndbsui,-0.05860480841383628,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2001,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2001
2002,ndbi,-0.1484418749295125,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2002,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2002
2002,ibui,-0.07812725771604301,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2002,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2002
2002,ndbsui,-0.06639406193805264,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2002,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2002
2003,ndbi,-0.14063765973989034,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2003,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2003
