forecast_origin,target_year,common_valid_pct_of_core,eligible_nonbuilt_cells,new_built_cells,new_built_area_ha,conversion_rate,raw_built_to_nonbuilt_reversal_cells,raw_built_to_nonbuilt_reversal_area_ha,persistence_correction_at_target_cells,persistence_correction_at_target_area_ha
2000,2001,78.28530303293253,171112,18753,1685.8562226103898,0.10959488522137548,14695,1321.0427055394073,14695,1321.0427055394073
2001,2002,69.14970698431105,135056,17201,1546.4106663406194,0.12736198317734865,12725,1143.982065191052,19830,1782.6950385954015
2002,2003,75.22131953923704,121551,12409,1115.5845488236253,0.1020888351391597,23030,2070.452462368834,33327,2996.116745913708
2003,2004,70.68696395014717,104900,9432,847.8907519567872,0.08991420400381316,10336,929.1877412228573,26505,2382.8421145452044
2004,2005,78.89054772507974,105472,2054,184.65001725430358,0.01947436286407767,27225,2447.5253870071238,52294,4701.237185148375
2005,2006,95.60500107727063,126548,3914,351.8747496837661,0.03092897556658343,5020,451.33269575226427,47514,4271.571228007478
2006,2007,92.21526655250616,119592,5681,510.7092690804276,0.04750317747006489,15925,1431.6662068232279,50242,4516.794118569791
2007,2008,92.3867179237662,114131,9075,815.8630074224973,0.07951389193120187,7086,636.998020555755,32802,2948.9442235510014
2008,2009,96.87096377239793,110194,3199,287.61909735483204,0.02903061872697243,23392,2102.8875515886853,50430,4533.668688332567
2009,2010,90.43032161702939,101649,3576,321.469296078958,0.03517988371749845,11823,1062.850959910817,46685,4196.972977960588
2010,2011,92.49672690369277,100655,1714,154.12783871577244,0.01702846356365804,14215,1277.9178639909574,52470,4717.029861072853
2011,2012,82.53277506063324,88422,1212,108.93343218479531,0.013706995996471466,19994,1797.4261969411575,62657,5632.893144363201
2012,2013,81.91175444209655,86251,1196,107.50990769952513,0.01386650589558382,6492,583.6098441290403,56181,5050.700624271695
2013,2014,99.0815279031655,101862,1931,173.56672819443645,0.01895702028234278,8009,720.0314244158576,61945,5568.85131419065
2014,2015,99.88790246095476,101032,3721,334.51884070008515,0.03682991527436852,5833,524.4165866924451,51242,4606.727623377469
2015,2016,98.49202849511863,93708,11500,1033.8503589604875,0.12272164596405856,12030,1081.5217051235782,43824,3939.8535633159076
2016,2017,98.46223784949599,82136,3228,290.1587100132841,0.039300672056102076,24504,2202.96088101225,55758,5012.7305266166895
2017,2018,99.85687053124849,82481,1480,133.07865807322784,0.017943526387895394,16661,1497.7983909295774,63009,5664.585626370227
2018,2019,99.47023845910408,80197,3599,323.5778870494409,0.044876990411112636,9715,873.3804366406489,55067,4950.5960206676045
2019,2020,99.470238459083,76598,11493,1033.2971197699812,0.15004308206480588,6289,565.4090182049681,32713,2940.94561562768
2020,2021,99.8879024609337,65953,1266,113.83383872584922,0.019195487695783362,36411,3273.469630010914,63692,5726.043807702182
2021,2022,99.8879024609337,64687,1893,170.18388963826496,0.02926399431106714,6211,558.4089363599829,51220,4604.771146281307
2022,2023,99.8879024609337,62794,2693,242.1015856284706,0.04288626301875975,13109,1178.502887164618,49925,4488.3322358931955
2023,2024,99.88790246093373,60101,743,66.81184245686849,0.012362523086138335,21708,1951.6105748529412,62037,5577.274884287611
2024,2025,99.88448926879194,59358,2884,259.2631370310585,0.048586542673270665,10130,910.700816676193,56487,5078.274668335846
