year,epoch,window_start,window_end_exclusive,sensor_mode,selected_sensors,scene_counts_by_sensor,first_selected_acquisition_date,last_selected_acquisition_date,selected_scene_count,coverage_at_least_1_core_pct,coverage_at_least_3_core_pct,mean_observation_count,median_observation_count,minimum_observation_count,maximum_observation_count,preferred_depth_reached,quality_flag
2000,2000,2000-01-01,2001-01-01,primary_plus_supplemental,LE07,"{""LE07"": 11}",2000-03-15,2000-12-28,11,99.26653753767252,26.332606810491793,2.0747790291180754,2.0,0.0,9.0,False,PASS
2001,2001,2001-01-01,2002-01-01,primary_plus_supplemental,LE07,"{""LE07"": 13}",2001-02-14,2001-12-31,13,78.75243700287149,14.703955755338164,1.4220167118879814,1.0,0.0,9.0,False,LIMITED
2002,2002,2002-01-01,2003-01-01,primary_plus_supplemental,LE07,"{""LE07"": 13}",2002-01-16,2002-12-18,13,86.37344907835039,17.96439136058174,1.6307393072897698,2.0,0.0,7.0,False,LIMITED
2003,2003,2003-01-01,2004-01-01,primary_plus_supplemental,LE07,"{""LE07"": 15}",2003-01-03,2003-12-21,15,86.93944573205418,22.711251389657725,1.8560428715853925,2.0,0.0,11.0,False,LIMITED
2004,2004,2004-01-01,2005-01-01,primary_plus_supplemental,LE07,"{""LE07"": 5}",2004-02-07,2004-12-23,5,80.8064778723658,11.147951969268503,1.4612359872903595,2.0,0.0,5.0,False,LIMITED
2005,2005,2005-01-01,2006-01-01,primary_plus_supplemental,LE07,"{""LE07"": 13}",2005-01-08,2005-12-26,13,96.45939579303916,32.22456420340849,2.1374282896085663,2.0,0.0,8.0,False,PASS
2006,2006,2006-01-01,2007-01-01,primary_plus_supplemental,LE07,"{""LE07"": 9}",2006-01-11,2006-11-27,9,99.03040480469937,56.70594469189848,2.656961461401527,2.999999999999999,0.0,8.0,False,PASS
2007,2007,2007-01-01,2008-01-01,primary_plus_supplemental,LE07,"{""LE07"": 14}",2007-01-14,2007-12-16,14,92.98774405542922,46.09557307387806,2.5016979037474876,2.0,0.0,10.0,False,LIMITED
2008,2008,2008-01-01,2009-01-01,primary_plus_supplemental,LE07,"{""LE07"": 10}",2008-01-17,2008-12-18,10,99.2158124984066,42.033230531862195,2.425963787782679,2.0,0.0,9.0,False,PASS
2009,2009,2009-01-01,2010-01-01,primary_plus_supplemental,LE07,"{""LE07"": 11}",2009-01-03,2009-12-21,11,97.54274342712856,34.86367182841514,2.227484700422847,2.0,0.0,8.0,False,PASS
2010,2010,2010-01-01,2011-01-01,primary_plus_supplemental,LE07,"{""LE07"": 12}",2010-01-22,2010-12-24,12,92.50138134435834,37.478894064091364,2.2450768051746843,2.0,0.0,8.0,False,LIMITED
2011,2011,2011-01-01,2012-01-01,primary_plus_supplemental,LE07,"{""LE07"": 12}",2011-01-09,2011-12-27,12,99.881075979366,37.11952998286794,2.3710944370412212,2.0,0.0,9.0,False,PASS
2012,2012,2012-01-01,2013-01-01,primary_plus_supplemental,LE07,"{""LE07"": 15}",2012-01-12,2012-12-29,15,82.53556761761133,11.57174476441493,1.4086342643040402,1.0,0.0,9.0,False,LIMITED
2013,2013,2013-01-01,2014-01-01,primary_only,LC08,"{""LC08"": 11}",2013-04-12,2013-12-24,11,99.0815279031655,65.92245162650639,3.0971367860222707,3.0,0.0,9.0,False,PASS
2014,2014,2014-01-01,2015-01-01,primary_only,LC08,"{""LC08"": 21}",2014-01-09,2014-12-27,21,99.8879024609548,98.51907045286782,5.830743875509553,5.0,1.0,15.0,True,PASS
2015,2015,2015-01-01,2016-01-01,primary_only,LC08,"{""LC08"": 19}",2015-01-12,2015-12-30,19,99.88790246095478,99.14317197301801,7.7155833915121494,7.0,2.0,18.0,True,PASS
2016,2016,2016-01-01,2017-01-01,primary_only,LC08,"{""LC08"": 15}",2016-01-15,2016-12-16,15,98.49202849509757,80.95902108177953,3.7320691708875993,4.0,0.0,10.0,True,PASS
2017,2017,2017-01-01,2018-01-01,primary_plus_supplemental,"LC08,LE07","{""LC08"": 15, ""LE07"": 19}",2017-01-01,2017-12-27,34,99.85687053124848,95.7399342120403,6.014272385525587,6.0,0.0,19.0,True,PASS
2018,2018,2018-01-01,2019-01-01,primary_only,LC08,"{""LC08"": 21}",2018-01-04,2018-12-22,21,99.88790246093374,99.56178389218313,7.168062174567636,5.999999999999999,2.0,20.0,True,PASS
