task_id,state,description,asset_id,product_type,epoch,selected_scene_count,selected_scene_ids_sha256,error_message
2O2KXAGVAGHAJN6QOWADBMKU,COMPLETED,sprawlgp_annual_composite_2000,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2000,landsat_composite,2000,11,6821fc0cdbfc32fc434268a89a4b41ef45de2d743c36eeb4e193bdfe996e9564,
2XPW5QSVELQVWRN7X6OWGIIU,COMPLETED,sprawlgp_annual_valid_count_2000,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2000,landsat_valid_count,2000,11,6821fc0cdbfc32fc434268a89a4b41ef45de2d743c36eeb4e193bdfe996e9564,
OA3PVBTO54Y24TK5HWULHREH,COMPLETED,sprawlgp_annual_composite_2001,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2001,landsat_composite,2001,13,4dbbc27edd7eb404a99b3a8a76785795ce86877865a3d0bd44d8ab692de9adc6,
BIY3224KM75SRAOCXYV2YHNS,COMPLETED,sprawlgp_annual_valid_count_2001,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2001,landsat_valid_count,2001,13,4dbbc27edd7eb404a99b3a8a76785795ce86877865a3d0bd44d8ab692de9adc6,
W43TEI34SPV4W3CESSPXRBFA,COMPLETED,sprawlgp_annual_composite_2002,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2002,landsat_composite,2002,13,782d01a507c6224304f6c7f7e7df5d3427e70053dffb3670ae1e6a660a6e0817,
TFLXHXZCADVPDMX2PNJECYEX,COMPLETED,sprawlgp_annual_valid_count_2002,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2002,landsat_valid_count,2002,13,782d01a507c6224304f6c7f7e7df5d3427e70053dffb3670ae1e6a660a6e0817,
OA4UW6D35HUU5X46QJVS23FM,COMPLETED,sprawlgp_annual_composite_2003,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2003,landsat_composite,2003,15,7f665e10298c87dca76dad04d3d0736340c98bff5bd1e63e8d6d7f1d40f06dd8,
ZWNCAZN5DOP2ZYWXPN2772VF,COMPLETED,sprawlgp_annual_valid_count_2003,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2003,landsat_valid_count,2003,15,7f665e10298c87dca76dad04d3d0736340c98bff5bd1e63e8d6d7f1d40f06dd8,
Y22OOVHK5HIVRRUAQA4YZLIO,COMPLETED,sprawlgp_annual_composite_2004,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2004,landsat_composite,2004,5,2795fe6c8f94ce14964563c50966768ee20eae9f520931d90db70ffef3fa0587,
XHWWAEUWSFNWOTJGO37GWPO5,COMPLETED,sprawlgp_annual_valid_count_2004,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2004,landsat_valid_count,2004,5,2795fe6c8f94ce14964563c50966768ee20eae9f520931d90db70ffef3fa0587,
T4KKZFQE52UWZFDRAWJOYXW5,COMPLETED,sprawlgp_annual_composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2005,landsat_composite,2005,13,5e4ea3f5ccdf6c54e5110b169d1d2ae448d51837768aefbad79d43fefd89b652,
WUMYXWWMVT7DPL3Q3LU22PEA,COMPLETED,sprawlgp_annual_valid_count_2005,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2005,landsat_valid_count,2005,13,5e4ea3f5ccdf6c54e5110b169d1d2ae448d51837768aefbad79d43fefd89b652,
R6YOR524WPALACO6N6PK3MD6,COMPLETED,sprawlgp_annual_composite_2006,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2006,landsat_composite,2006,9,84de5d586f23e793de48def28c19ab72e9a951b558a69710ae4ec250457f3a3b,
GGFRL4VBBOUY6TKXIRJCVIQJ,COMPLETED,sprawlgp_annual_valid_count_2006,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2006,landsat_valid_count,2006,9,84de5d586f23e793de48def28c19ab72e9a951b558a69710ae4ec250457f3a3b,
OOP6O2KF7UFCTQDX6NER7IBL,COMPLETED,sprawlgp_annual_composite_2007,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2007,landsat_composite,2007,14,6db4921fe4b798f53ccafd0826f1f4bdc6c47c416e01bf3c701fad72e4d75514,
6EPJSCZRMNRYXVMTMNXPBXER,COMPLETED,sprawlgp_annual_valid_count_2007,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2007,landsat_valid_count,2007,14,6db4921fe4b798f53ccafd0826f1f4bdc6c47c416e01bf3c701fad72e4d75514,
O5MGXL4LVNI7ZOMZUHUQPNY5,COMPLETED,sprawlgp_annual_composite_2008,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2008,landsat_composite,2008,10,2547cab4f27b0033b4675454d49bb2645cd043a255cc36b18c0ae1d5a496ed3c,
RHYHCPVA7MT2VR4SGB2KIQV2,COMPLETED,sprawlgp_annual_valid_count_2008,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2008,landsat_valid_count,2008,10,2547cab4f27b0033b4675454d49bb2645cd043a255cc36b18c0ae1d5a496ed3c,
PLB2V4SA2ISOFF7NZ6IKV2GT,COMPLETED,sprawlgp_annual_composite_2009,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2009,landsat_composite,2009,11,20dd6b0c97c11a3afab610cbbb0a3ab8e17c375dd2479fe7a33bb59fa50d08b2,
ECJZIYLMPGFDRKDPR57KAW3I,COMPLETED,sprawlgp_annual_valid_count_2009,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2009,landsat_valid_count,2009,11,20dd6b0c97c11a3afab610cbbb0a3ab8e17c375dd2479fe7a33bb59fa50d08b2,
P5NDE2PLRYOCSK2TRNKR53RT,COMPLETED,sprawlgp_annual_composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2010,landsat_composite,2010,12,fd8bc0648586ab82d5e342809c0b71722d03569b016775769888ba700d1ec76b,
X6DFIQ2UYXO3OHNGF6BUUT6H,COMPLETED,sprawlgp_annual_valid_count_2010,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2010,landsat_valid_count,2010,12,fd8bc0648586ab82d5e342809c0b71722d03569b016775769888ba700d1ec76b,
MLZDKSDPPU3BXXYLOBVKBS65,COMPLETED,sprawlgp_annual_composite_2011,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2011,landsat_composite,2011,12,d10dc9ae928fd9a19e7de9c1e299c370fcc11a4b375f899f3a58998c65e52431,
T2JVKTTEGJQQVEBWYOP7EFE6,COMPLETED,sprawlgp_annual_valid_count_2011,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2011,landsat_valid_count,2011,12,d10dc9ae928fd9a19e7de9c1e299c370fcc11a4b375f899f3a58998c65e52431,
VKASQNEWTKXTQE7TC6JGAOSV,COMPLETED,sprawlgp_annual_composite_2012,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2012,landsat_composite,2012,15,ecb19c10df8bfcdefb54013eb6212df6d0704034eb6a0f968d9577cfc3569d68,
WBD55MSP2AYR2E5MGEQBJKBT,COMPLETED,sprawlgp_annual_valid_count_2012,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2012,landsat_valid_count,2012,15,ecb19c10df8bfcdefb54013eb6212df6d0704034eb6a0f968d9577cfc3569d68,
KDBSTJGNWZ3UNDS3BICSI52I,COMPLETED,sprawlgp_annual_composite_2013,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2013,landsat_composite,2013,11,76e060d235e59a6a9049198fd873613b8f68d4a101c3cc490bf454c92df0bb83,
OUUIT34CHYU7W4ZN532YMR7X,COMPLETED,sprawlgp_annual_valid_count_2013,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2013,landsat_valid_count,2013,11,76e060d235e59a6a9049198fd873613b8f68d4a101c3cc490bf454c92df0bb83,
QBXB64TDHKL6POSFAWWJE7TF,COMPLETED,sprawlgp_annual_composite_2014,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2014,landsat_composite,2014,21,f2e97ffe4dc291a9be33ec3f1f9143a057073fe242bf9a50aab8df1057a3e6bf,
5L3F2YXRS2XL4THJYSOCG3RP,COMPLETED,sprawlgp_annual_valid_count_2014,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2014,landsat_valid_count,2014,21,f2e97ffe4dc291a9be33ec3f1f9143a057073fe242bf9a50aab8df1057a3e6bf,
627RU5YEOEVSXXH3V53KH4N2,COMPLETED,sprawlgp_annual_composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2015,landsat_composite,2015,19,cd57592203f1718314031f08cf3d079edf2426e125792f1d22d738d9b8c9c390,
CDFQ3ZXUAPLZ5M5FVB3QIMI2,COMPLETED,sprawlgp_annual_valid_count_2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2015,landsat_valid_count,2015,19,cd57592203f1718314031f08cf3d079edf2426e125792f1d22d738d9b8c9c390,
S6R2NVIBJSXW5BGRLGN3BEXZ,COMPLETED,sprawlgp_annual_composite_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2016,landsat_composite,2016,15,ff246b2363e7284732de482d509dc2271eeee627c2aeb72ac03cff2f8e54d159,
CHNDAWL7L27MIBLF2JXXBFLS,COMPLETED,sprawlgp_annual_valid_count_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2016,landsat_valid_count,2016,15,ff246b2363e7284732de482d509dc2271eeee627c2aeb72ac03cff2f8e54d159,
U2YUYXXEJ4B6EEF43ZJ55TKT,COMPLETED,sprawlgp_annual_composite_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2017,landsat_composite,2017,34,0d5412666c5fce2dd40114aef7ae2887019e93bed2f16f2453555db77ebe7d7d,
XCXQCYQ5RARKFONTTMAPKPAA,COMPLETED,sprawlgp_annual_valid_count_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2017,landsat_valid_count,2017,34,0d5412666c5fce2dd40114aef7ae2887019e93bed2f16f2453555db77ebe7d7d,
PS5EAYRTDRM5IM5RC7IFIECB,COMPLETED,sprawlgp_annual_composite_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2018,landsat_composite,2018,21,e0ea70fbd273ce91b2ced96b8f6ab32b65fc4e5545326c3dd95871d0a949a7a8,
TVV5EFLEHUPUUSW3W4OOUEMU,COMPLETED,sprawlgp_annual_valid_count_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2018,landsat_valid_count,2018,21,e0ea70fbd273ce91b2ced96b8f6ab32b65fc4e5545326c3dd95871d0a949a7a8,
CKZE6Z3XV27J3EXVCLURBXGI,COMPLETED,sprawlgp_annual_composite_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2019,landsat_composite,2019,16,57e9c709d92989fc154b21aecf8a04329fd9851cccd8f1cec4693681b2bc72ca,
RXT3V7E5RHBWKO7XJMOIO26X,COMPLETED,sprawlgp_annual_valid_count_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2019,landsat_valid_count,2019,16,57e9c709d92989fc154b21aecf8a04329fd9851cccd8f1cec4693681b2bc72ca,
