epoch,minimum_observation_count,maximum_observation_count,mean_observation_count,median_observation_count,covered_grid_pct,selected_scene_count
2000,0.0,11.0,2.269984482889822,2.0,94.90159988686734,11
2001,0.0,10.0,1.7846289624049205,1.0,83.5980734335454,13
2002,0.0,9.0,1.6110267430280532,1.0,84.0095998069222,13
2003,0.0,11.0,2.204174069552386,2.0,88.92962160032549,15
2004,0.0,5.0,1.5407009829708815,2.0,81.05190006299343,5
2005,0.0,9.0,2.294279182258219,2.0,93.4748830325947,13
2006,0.0,8.0,2.670833788259271,3.0,97.6613404232747,9
2007,0.0,12.0,2.658564022140832,2.0,91.46212920656076,14
2008,0.0,9.0,2.597536948257551,2.0,97.96865561390713,10
2009,0.0,9.0,2.511521206165818,2.0,97.67658843825467,11
2010,0.0,8.0,2.3149898923727945,2.0,89.75285037202923,12
2011,0.0,11.0,2.7430098561772325,2.0,99.88663909431419,12
2012,0.0,10.0,1.558653187624691,1.0,80.77768429090924,15
2013,0.0,11.0,2.9911901524250033,3.0,97.76998745971966,11
2014,0.0,15.0,5.534178999295278,5.0,99.84598499258624,21
2015,2.0,18.0,7.396130482684692,7.0,99.89027450457363,19
2016,0.0,10.0,3.696530486654954,4.0,98.32474439254638,15
2017,0.0,20.0,6.3315698749698095,6.0,99.72698802136368,34
2018,1.0,20.0,7.659913911469758,7.0,99.89027450457363,21
2019,0.0,14.0,4.384552203992099,4.0,99.23296657133395,16
2020,2.0,19.0,7.431360774465917,7.0,99.89027450457363,25
2021,1.0,20.0,8.70612197970534,8.0,99.89027450457924,25
2022,2.0,27.0,11.515996023120163,11.0,99.89027450457924,34
2023,2.0,25.0,11.463352820706243,10.0,99.89027450457924,35
2024,4.0,40.0,18.12552895479525,17.0,99.89027450457363,49
2025,0.0,21.0,9.18539638110552,9.0,99.86614495995595,28
