epoch,asset_id,count_asset_id,selected_scene_count,selected_scene_ids_sha256,sensors,band_names,crs,transform,width,height,status
2000,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2000,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2000,11,6821fc0cdbfc32fc434268a89a4b41ef45de2d743c36eeb4e193bdfe996e9564,"{""LE07"": 11}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2001,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2001,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2001,13,4dbbc27edd7eb404a99b3a8a76785795ce86877865a3d0bd44d8ab692de9adc6,"{""LE07"": 13}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2002,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2002,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2002,13,782d01a507c6224304f6c7f7e7df5d3427e70053dffb3670ae1e6a660a6e0817,"{""LE07"": 13}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2003,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2003,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2003,15,7f665e10298c87dca76dad04d3d0736340c98bff5bd1e63e8d6d7f1d40f06dd8,"{""LE07"": 15}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2004,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2004,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2004,5,2795fe6c8f94ce14964563c50966768ee20eae9f520931d90db70ffef3fa0587,"{""LE07"": 5}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2005,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2005,13,5e4ea3f5ccdf6c54e5110b169d1d2ae448d51837768aefbad79d43fefd89b652,"{""LE07"": 13}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2006,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2006,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2006,9,84de5d586f23e793de48def28c19ab72e9a951b558a69710ae4ec250457f3a3b,"{""LE07"": 9}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2007,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2007,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2007,14,6db4921fe4b798f53ccafd0826f1f4bdc6c47c416e01bf3c701fad72e4d75514,"{""LE07"": 14}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2008,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2008,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2008,10,2547cab4f27b0033b4675454d49bb2645cd043a255cc36b18c0ae1d5a496ed3c,"{""LE07"": 10}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2009,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2009,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2009,11,20dd6b0c97c11a3afab610cbbb0a3ab8e17c375dd2479fe7a33bb59fa50d08b2,"{""LE07"": 11}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
