task_id,state,description,asset_id,epoch,product_type,source_composite_asset,source_count_asset,recipe_sha256,error_message
B5HYJKTX7KC6YALAASTQJPWJ,COMPLETED,sprawlgp_indices_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2005,2005,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,355ae141e747625892abd76baafcc87df4dc2c39c117c0a946650c238dcfe7f0,
TMB24FD3G25FKVB42VHH6ZPG,COMPLETED,sprawlgp_candidates_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2005,2005,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,5f05e51e9bc76b1cd725c53659e1ffff77e1a26154ff7289e16ab9ae77828aa5,
ICDGUAUZSMUAMAWGUNLUA4AZ,COMPLETED,sprawlgp_indices_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2010,2010,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,5ae1c6462109935b83dbe09bae66c571a911515b2a6cac23cdc3da931d1e0a8e,
3BUTBV7HEUSLGQGUGSKQWMGG,COMPLETED,sprawlgp_candidates_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2010,2010,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,5431c9db978ead94461f144e6a2ebdb2c732e69e0e9d335a4b1a18d6e9d4ab71,
NXJ5IHIDGAFHPGJSGESAHD5I,COMPLETED,sprawlgp_indices_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2015,2015,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2015,512bb9f4f4138c6b0e17b9730ff1a0e6cba120837e7e1347977daed369487bb9,
FN4LPRO2YRI3TMLOO53SSWGF,COMPLETED,sprawlgp_candidates_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2015,2015,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2015,5d291187c276f59b421a43e00b22b8301002a8707f9c1af608f4ec1f88a8df32,
6V5EDBZDBAFRSOBF6KFONIAJ,COMPLETED,sprawlgp_indices_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2020,2020,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,c74f827836119421fb5cc5c7da8868f8a127aea9abf537b7d2117072941d42be,
Z4XIVFTJ4GBE4EDEE3DRVKER,COMPLETED,sprawlgp_candidates_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2020,2020,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,2b429afc9af5a2bf28e151f3b9c12907f320eba8ce650edfaa763e743bfd5cad,
FVXSYVWC6EOGECFUFHKEZIJG,COMPLETED,sprawlgp_indices_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2025,2025,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,72e1a12a4343287969c399a54257604f4d0d5eccf9420b5e14cf1127f1c1f4fd,
3FTEVVHXDEJRVUZDQD2VJD4Q,COMPLETED,sprawlgp_candidates_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2025,2025,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,423c404193f8b2dbe52990185d9e1e7e6a7fb7b3f28b4f7d0ca019a6a9598f88,
