task_id,state,description,asset_id,epoch,product_type,source_composite_asset,source_count_asset,recipe_sha256,band_names,continuous_index_layers,binary_candidate_layers
XZPNT4QLFAFTCQFN5X7L5RDF,PASS,sprawlgp_indices_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2005,2005,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,99a04599536838f6caf94c3acccb0eac56cb3eb8854499e0e28d4d2635a45901,"savi,mndwi,ndbi,ibi,ibui,vbswir1_bi,ndbsui,valid_composite",7,0
VJNQ6UHG6WMSJNABP6EN5NM4,PASS,sprawlgp_candidates_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2005,2005,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,6066c046b722e98eac32ef0a4124b1f7195e48a00bdf678c5c25bd8580cb7c22,"built_ndbi,built_ibi,built_ibui,built_vbswir1_bi,built_ndbsui,valid_ndbi,valid_ibi,valid_ibui,valid_vbswir1_bi,valid_ndbsui",0,5
OE6YKLMXG7D5OBO5FGO5FB76,PASS,sprawlgp_indices_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2010,2010,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,45adcc37979afce5533f0f0f24344daf172ccdf169f0ff511729ad3372afc918,"savi,mndwi,ndbi,ibi,ibui,vbswir1_bi,ndbsui,valid_composite",7,0
DZJVOS63YHUZHVKKGGFJBQBF,PASS,sprawlgp_candidates_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2010,2010,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,986cd37d88caea5931b4e1de13b3ccc923e9103b3f5cb02422d5b2deefc5fa87,"built_ndbi,built_ibi,built_ibui,built_vbswir1_bi,built_ndbsui,valid_ndbi,valid_ibi,valid_ibui,valid_vbswir1_bi,valid_ndbsui",0,5
5DKVYSZD5U6M7EOZAMPTUU4F,PASS,sprawlgp_indices_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2015,2015,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2015,c160cc128d485d2cb4d1f3c67ddca51ad5144cc0bb601d6872edf4c256916866,"savi,mndwi,ndbi,ibi,ibui,vbswir1_bi,ndbsui,valid_composite",7,0
XEKDDXCDKFKB6IHVHZFB2B6O,PASS,sprawlgp_candidates_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2015,2015,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2015,647f1a38be7f666fed0438ba58ea5244fe8af9f406d0729b3e4476201f1bf168,"built_ndbi,built_ibi,built_ibui,built_vbswir1_bi,built_ndbsui,valid_ndbi,valid_ibi,valid_ibui,valid_vbswir1_bi,valid_ndbsui",0,5
VXAWOSQAA2DGU4BQLT62URDY,PASS,sprawlgp_indices_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2020,2020,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,ce3a0e4382b6c1aeffcf40a9d60f40c8fd31379aeff879eb2bb34b0515d062b9,"savi,mndwi,ndbi,ibi,ibui,vbswir1_bi,ndbsui,valid_composite",7,0
BXMFRK75UB4ZVSSPAF4NGTBZ,PASS,sprawlgp_candidates_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2020,2020,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,169c8502def22ec750d25d03e8cfc7ddf2bb0785eb5559e48bbd7ca0651e8cd3,"built_ndbi,built_ibi,built_ibui,built_vbswir1_bi,built_ndbsui,valid_ndbi,valid_ibi,valid_ibui,valid_vbswir1_bi,valid_ndbsui",0,5
RVW2NOEBZNX45EHX2GLDBBPG,PASS,sprawlgp_indices_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/indices/indices_2025,2025,indices,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,b316b3b4129f2b8848063d95e2f20d183cdfd2ed0dd8775781d010c547f9fbe3,"savi,mndwi,ndbi,ibi,ibui,vbswir1_bi,ndbsui,valid_composite",7,0
IBG5RZ5UUZHGTIK674DQ2FGU,PASS,sprawlgp_candidates_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/built_up_candidates/candidates_2025,2025,candidates,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,56542889ccd453b599a7476cf890828c5e74e69e7a683e3876bec133ab688fd0,"built_ndbi,built_ibi,built_ibui,built_vbswir1_bi,built_ndbsui,valid_ndbi,valid_ibi,valid_ibui,valid_vbswir1_bi,valid_ndbsui",0,5
