epoch,index_name,threshold_strategy,threshold_value,classification_direction,histogram_bucket_count,histogram_valid_pixel_count,histogram_min,histogram_max,histogram_mean,threshold_region,minimum_observation_count,status,failure_reason,source_composite_asset,source_count_asset,formula_version,grid_version,threshold_record_sha256,candidate_valid_pixel_count_core,candidate_built_pixel_count_core,candidate_nonbuilt_pixel_count_core,candidate_built_fraction_core,candidate_built_area_ha_core
2005,ibi,epoch_specific_otsu,-10299.64614868164,greater_than,11,19571,-19936.8359375,892.3379516601562,-0.1754082629900096,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,1,1,e3a45ce0902bdcf88858d9b57dfe97f78952ab6a00d7bbffa488612f58e7236b,19571,19570,1,0.9999489075720763,1759.4424419240434
2005,ibui,epoch_specific_otsu,-0.17199289871104967,greater_than,107,19571,-0.9809713959693909,1.1791107654571533,-0.29333837895506926,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,1,1,ba8322a5509f9c5390055ea4bbf4a805c911f3e3b9facbd96d580b62d5f4016c,19571,4400,15171,0.22479636219397692,395.5364693527641
2005,ndbi,epoch_specific_otsu,-0.22670226164325458,greater_than,119,19571,-0.6225432455539703,0.5710815191268921,-0.29049071913686947,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,1,1,51d76fae5c6fa6347b439c6e22324c20088a46c1e05d3927c402478f62e7c2c8,19571,5169,14402,0.2641164255660588,464.72139249444695
2005,ndbsui,epoch_specific_otsu,-0.11922073596359206,greater_than,184,19571,-0.3263508081436157,0.07120613008737564,-0.13532372346826088,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,1,1,2f583dc2547ff5a29a7733f21a9f155e889d9f5239c80309b6b7bc24c49d884f,19571,6889,12682,0.35198055023604274,619.3211614388739
2005,vbswir1_bi,epoch_specific_otsu,0.43758810491772593,greater_than,131,19571,-0.37698259949684143,0.8559102848016427,0.5116152952923255,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2005,1,1,bd675da7753f5476dfcbc44f3cc7decaa261c40016d46bcf54eaa8ec8c8e7712,19571,13927,5644,0.7116335181637277,1252.1421899375766
2010,ibi,epoch_specific_otsu,-2175.7214965820312,greater_than,38,87129,-6345.56298828125,6269.611328125,-0.26802683399498156,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,1,1,0c91ffb78aa114bbbadce3d6fe15abec97f1697449e64339f7db10016cf8565d,87129,87124,5,0.999942614750104,7832.242089613205
2010,ibui,epoch_specific_otsu,-0.046867263681580576,greater_than,108,87129,-0.8496665954589844,1.2210384607315063,-0.07956944434392232,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,1,1,feac1fd638794f782b2cbfd388b47660af533d1f37d0eec2f9a6c0953d5e25f9,87129,36264,50865,0.4162005135787079,3259.9702543774893
2010,ndbi,epoch_specific_otsu,-0.14843226221576813,greater_than,113,87129,-0.5156252980232239,0.6009668707847595,-0.16093610638982075,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,1,1,b0fc0332efc5bd8c59751cb1763aa84efc2e23f14bde90282f4f3c27d1720575,87129,38595,48533,0.44296214499523195,3469.585859188568
2010,ndbsui,epoch_specific_otsu,-0.0644524275233183,greater_than,157,87129,-0.222590371966362,0.1653548628091812,-0.06625115550341769,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,1,1,82f7433272b6d3c749a71fec10f6f7c68386284b3986f515f3edfe18aea6491b,87129,42183,44946,0.48413499045590896,3792.080058765055
2010,vbswir1_bi,epoch_specific_otsu,0.5897822438894713,greater_than,169,87129,-0.005673715379089117,0.8598147630691528,0.5921138388028433,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2010,1,1,dafb16482112b00609be401396ab3b3d200c935226a76541700bf329e472e1b2,87129,45292,41837,0.5198308049449127,4071.674364017932
