epoch,window_name,number_of_months,window_start,window_end,sensor_mode,sensor_keys,supplemental_sensor_used,scene_count,coverage_at_least_1_core_pct,coverage_at_least_3_core_pct,mean_valid_observations_core,median_valid_observations_core,maximum_valid_observations_core
2000,Jan-Mar_3m,3,2000-01-01,2000-04-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jan-Mar_3m,3,2000-01-01,2000-04-01,primary_plus_supplemental,"LT05,LE07",True,2,26.791987175896754,0.0,0.30927940657484987,0.0,2.0
2000,Feb-Apr_3m,3,2000-02-01,2000-05-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Feb-Apr_3m,3,2000-02-01,2000-05-01,primary_plus_supplemental,"LT05,LE07",True,2,26.791987175896754,0.0,0.30927940657484987,0.0,2.0
2000,Mar-May_3m,3,2000-03-01,2000-06-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Mar-May_3m,3,2000-03-01,2000-06-01,primary_plus_supplemental,"LT05,LE07",True,6,98.1104681333723,6.191475329109171,1.422839040176823,1.0,6.0
2000,Apr-Jun_3m,3,2000-04-01,2000-07-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Apr-Jun_3m,3,2000-04-01,2000-07-01,primary_plus_supplemental,"LT05,LE07",True,5,97.63199551895914,3.1682843601169695,1.2361440229351432,1.0,5.0
2000,May-Jul_3m,3,2000-05-01,2000-08-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,May-Jul_3m,3,2000-05-01,2000-08-01,primary_plus_supplemental,"LT05,LE07",True,5,97.63199551895914,3.1682843601169695,1.2361440229351432,1.0,5.0
2000,Jun-Aug_3m,3,2000-06-01,2000-09-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jun-Aug_3m,3,2000-06-01,2000-09-01,primary_plus_supplemental,"LT05,LE07",True,1,12.244914348893806,0.0,0.12258438933317024,0.0,1.0
2000,Jul-Sep_3m,3,2000-07-01,2000-10-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jul-Sep_3m,3,2000-07-01,2000-10-01,primary_plus_supplemental,"LT05,LE07",True,0,0.0,0.0,0.0,0.0,0.0
2000,Aug-Oct_3m,3,2000-08-01,2000-11-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Aug-Oct_3m,3,2000-08-01,2000-11-01,primary_plus_supplemental,"LT05,LE07",True,0,0.0,0.0,0.0,0.0,0.0
2000,Sep-Nov_3m,3,2000-09-01,2000-12-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Sep-Nov_3m,3,2000-09-01,2000-12-01,primary_plus_supplemental,"LT05,LE07",True,0,0.0,0.0,0.0,0.0,0.0
2000,Oct-Dec_3m,3,2000-10-01,2001-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Oct-Dec_3m,3,2000-10-01,2001-01-01,primary_plus_supplemental,"LT05,LE07",True,4,41.87512153090374,1.0431695300957369,0.5293555996080831,0.0,4.0
2000,Nov-Jan_3m,3,1999-11-01,2000-02-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Nov-Jan_3m,3,1999-11-01,2000-02-01,primary_plus_supplemental,"LT05,LE07",True,2,73.77887381735468,0.0,0.801038435539434,1.0,2.0
2000,Dec-Feb_3m,3,1999-12-01,2000-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Dec-Feb_3m,3,1999-12-01,2000-03-01,primary_plus_supplemental,"LT05,LE07",True,2,73.77887381735468,0.0,0.801038435539434,1.0,2.0
2000,Jan-Apr_4m,4,2000-01-01,2000-05-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jan-Apr_4m,4,2000-01-01,2000-05-01,primary_plus_supplemental,"LT05,LE07",True,2,26.791987175896754,0.0,0.30927940657484987,0.0,2.0
2000,Feb-May_4m,4,2000-02-01,2000-06-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Feb-May_4m,4,2000-02-01,2000-06-01,primary_plus_supplemental,"LT05,LE07",True,6,98.1104681333723,6.191475329109171,1.422839040176823,1.0,6.0
2000,Mar-Jun_4m,4,2000-03-01,2000-07-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Mar-Jun_4m,4,2000-03-01,2000-07-01,primary_plus_supplemental,"LT05,LE07",True,7,98.35243699751722,9.047519864607098,1.545423429509993,1.0,7.0
2000,Apr-Jul_4m,4,2000-04-01,2000-08-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Apr-Jul_4m,4,2000-04-01,2000-08-01,primary_plus_supplemental,"LT05,LE07",True,5,97.63199551895914,3.1682843601169695,1.2361440229351432,1.0,5.0
2000,May-Aug_4m,4,2000-05-01,2000-09-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,May-Aug_4m,4,2000-05-01,2000-09-01,primary_plus_supplemental,"LT05,LE07",True,5,97.63199551895914,3.1682843601169695,1.2361440229351432,1.0,5.0
2000,Jun-Sep_4m,4,2000-06-01,2000-10-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jun-Sep_4m,4,2000-06-01,2000-10-01,primary_plus_supplemental,"LT05,LE07",True,1,12.244914348893806,0.0,0.12258438933317024,0.0,1.0
2000,Jul-Oct_4m,4,2000-07-01,2000-11-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jul-Oct_4m,4,2000-07-01,2000-11-01,primary_plus_supplemental,"LT05,LE07",True,0,0.0,0.0,0.0,0.0,0.0
2000,Aug-Nov_4m,4,2000-08-01,2000-12-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Aug-Nov_4m,4,2000-08-01,2000-12-01,primary_plus_supplemental,"LT05,LE07",True,0,0.0,0.0,0.0,0.0,0.0
2000,Sep-Dec_4m,4,2000-09-01,2001-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Sep-Dec_4m,4,2000-09-01,2001-01-01,primary_plus_supplemental,"LT05,LE07",True,4,41.87512153090374,1.0431695300957369,0.5293555996080831,0.0,4.0
2000,Oct-Jan_4m,4,1999-10-01,2000-02-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Oct-Jan_4m,4,1999-10-01,2000-02-01,primary_plus_supplemental,"LT05,LE07",True,2,73.77887381735468,0.0,0.801038435539434,1.0,2.0
2000,Nov-Feb_4m,4,1999-11-01,2000-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Nov-Feb_4m,4,1999-11-01,2000-03-01,primary_plus_supplemental,"LT05,LE07",True,2,73.77887381735468,0.0,0.801038435539434,1.0,2.0
2000,Dec-Mar_4m,4,1999-12-01,2000-04-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Dec-Mar_4m,4,1999-12-01,2000-04-01,primary_plus_supplemental,"LT05,LE07",True,4,80.74371985940707,3.5085472420354167,1.110317842114284,1.0,4.0
2000,Jan-Jun_6m,6,2000-01-01,2000-07-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jan-Jun_6m,6,2000-01-01,2000-07-01,primary_plus_supplemental,"LT05,LE07",True,7,98.35243699751722,9.047519864607098,1.545423429509993,1.0,7.0
2000,Feb-Jul_6m,6,2000-02-01,2000-08-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Feb-Jul_6m,6,2000-02-01,2000-08-01,primary_plus_supplemental,"LT05,LE07",True,7,98.35243699751722,9.047519864607098,1.545423429509993,1.0,7.0
2000,Mar-Aug_6m,6,2000-03-01,2000-09-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Mar-Aug_6m,6,2000-03-01,2000-09-01,primary_plus_supplemental,"LT05,LE07",True,7,98.35243699751722,9.047519864607098,1.545423429509993,1.0,7.0
2000,Apr-Sep_6m,6,2000-04-01,2000-10-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Apr-Sep_6m,6,2000-04-01,2000-10-01,primary_plus_supplemental,"LT05,LE07",True,5,97.63199551895914,3.1682843601169695,1.2361440229351432,1.0,5.0
2000,May-Oct_6m,6,2000-05-01,2000-11-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,May-Oct_6m,6,2000-05-01,2000-11-01,primary_plus_supplemental,"LT05,LE07",True,5,97.63199551895914,3.1682843601169695,1.2361440229351432,1.0,5.0
2000,Jun-Nov_6m,6,2000-06-01,2000-12-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jun-Nov_6m,6,2000-06-01,2000-12-01,primary_plus_supplemental,"LT05,LE07",True,1,12.244914348893806,0.0,0.12258438933317024,0.0,1.0
2000,Jul-Dec_6m,6,2000-07-01,2001-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jul-Dec_6m,6,2000-07-01,2001-01-01,primary_plus_supplemental,"LT05,LE07",True,4,41.87512153090374,1.0431695300957369,0.5293555996080831,0.0,4.0
2000,Aug-Jan_6m,6,1999-08-01,2000-02-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Aug-Jan_6m,6,1999-08-01,2000-02-01,primary_plus_supplemental,"LT05,LE07",True,2,73.77887381735468,0.0,0.801038435539434,1.0,2.0
2000,Sep-Feb_6m,6,1999-09-01,2000-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Sep-Feb_6m,6,1999-09-01,2000-03-01,primary_plus_supplemental,"LT05,LE07",True,2,73.77887381735468,0.0,0.801038435539434,1.0,2.0
2000,Oct-Mar_6m,6,1999-10-01,2000-04-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Oct-Mar_6m,6,1999-10-01,2000-04-01,primary_plus_supplemental,"LT05,LE07",True,4,80.74371985940707,3.5085472420354167,1.110317842114284,1.0,4.0
2000,Nov-Apr_6m,6,1999-11-01,2000-05-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Nov-Apr_6m,6,1999-11-01,2000-05-01,primary_plus_supplemental,"LT05,LE07",True,4,80.74371985940707,3.5085472420354167,1.110317842114284,1.0,4.0
2000,Dec-May_6m,6,1999-12-01,2000-06-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Dec-May_6m,6,1999-12-01,2000-06-01,primary_plus_supplemental,"LT05,LE07",True,8,99.17143467002539,25.976116650902085,2.2238774757162565,2.0,8.0
2000,Jan-Dec_12m,12,2000-01-01,2001-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jan-Dec_12m,12,2000-01-01,2001-01-01,primary_plus_supplemental,"LT05,LE07",True,11,99.26653753767253,26.332606810491793,2.0747790291180754,2.0,9.0
2000,Feb-Jan_12m,12,1999-02-01,2000-02-01,primary_only,LT05,False,1,92.88684247459292,0.0,0.929913909157234,1.0,1.0
2000,Feb-Jan_12m,12,1999-02-01,2000-02-01,primary_plus_supplemental,"LT05,LE07",True,3,97.01743669110282,4.538665455694642,1.7309523446966677,2.0,3.0000000000000013
2000,Mar-Feb_12m,12,1999-03-01,2000-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Mar-Feb_12m,12,1999-03-01,2000-03-01,primary_plus_supplemental,"LT05,LE07",True,2,73.77887381735468,0.0,0.801038435539434,1.0,2.0
2000,Apr-Mar_12m,12,1999-04-01,2000-04-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Apr-Mar_12m,12,1999-04-01,2000-04-01,primary_plus_supplemental,"LT05,LE07",True,4,80.74371985940707,3.5085472420354167,1.110317842114284,1.0,4.0
2000,May-Apr_12m,12,1999-05-01,2000-05-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,May-Apr_12m,12,1999-05-01,2000-05-01,primary_plus_supplemental,"LT05,LE07",True,4,80.74371985940707,3.5085472420354167,1.110317842114284,1.0,4.0
2000,Jun-May_12m,12,1999-06-01,2000-06-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jun-May_12m,12,1999-06-01,2000-06-01,primary_plus_supplemental,"LT05,LE07",True,8,99.17143467002539,25.976116650902085,2.2238774757162565,2.0,8.0
2000,Jul-Jun_12m,12,1999-07-01,2000-07-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Jul-Jun_12m,12,1999-07-01,2000-07-01,primary_plus_supplemental,"LT05,LE07",True,9,99.23442314362752,33.45250452961574,2.3464618650494273,2.0,8.0
2000,Aug-Jul_12m,12,1999-08-01,2000-08-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Aug-Jul_12m,12,1999-08-01,2000-08-01,primary_plus_supplemental,"LT05,LE07",True,9,99.23442314362752,33.45250452961574,2.3464618650494273,2.0,8.0
2000,Sep-Aug_12m,12,1999-09-01,2000-09-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Sep-Aug_12m,12,1999-09-01,2000-09-01,primary_plus_supplemental,"LT05,LE07",True,9,99.23442314362752,33.45250452961574,2.3464618650494273,2.0,8.0
2000,Oct-Sep_12m,12,1999-10-01,2000-10-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Oct-Sep_12m,12,1999-10-01,2000-10-01,primary_plus_supplemental,"LT05,LE07",True,9,99.23442314362752,33.45250452961574,2.3464618650494273,2.0,8.0
2000,Nov-Oct_12m,12,1999-11-01,2000-11-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Nov-Oct_12m,12,1999-11-01,2000-11-01,primary_plus_supplemental,"LT05,LE07",True,9,99.23442314362752,33.45250452961574,2.3464618650494273,2.0,8.0
2000,Dec-Nov_12m,12,1999-12-01,2000-12-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2000,Dec-Nov_12m,12,1999-12-01,2000-12-01,primary_plus_supplemental,"LT05,LE07",True,9,99.23442314362752,33.45250452961574,2.3464618650494273,2.0,8.0
2005,Jan-Mar_3m,3,2005-01-01,2005-04-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jan-Mar_3m,3,2005-01-01,2005-04-01,primary_plus_supplemental,"LT05,LE07",True,4,21.02758772715805,0.0006205757567458639,0.21454066793707846,0.0,3.0
2005,Feb-Apr_3m,3,2005-02-01,2005-05-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Feb-Apr_3m,3,2005-02-01,2005-05-01,primary_plus_supplemental,"LT05,LE07",True,4,18.78304640476168,0.000310291154181436,0.1914300075028441,0.0,3.0
2005,Mar-May_3m,3,2005-03-01,2005-06-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Mar-May_3m,3,2005-03-01,2005-06-01,primary_plus_supplemental,"LT05,LE07",True,3,18.37632591160309,0.000310291154181436,0.18455659092395837,0.0,3.0
2005,Apr-Jun_3m,3,2005-04-01,2005-07-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Apr-Jun_3m,3,2005-04-01,2005-07-01,primary_plus_supplemental,"LT05,LE07",True,1,8.681343174190493,0.0,0.0869105884878181,0.0,1.0
2005,May-Jul_3m,3,2005-05-01,2005-08-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,May-Jul_3m,3,2005-05-01,2005-08-01,primary_plus_supplemental,"LT05,LE07",True,1,5.734228027042752,0.0,0.05740401835230523,0.0,1.0
2005,Jun-Aug_3m,3,2005-06-01,2005-09-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jun-Aug_3m,3,2005-06-01,2005-09-01,primary_plus_supplemental,"LT05,LE07",True,2,6.073028310059009,0.0,0.06531850176522103,0.0,2.0
2005,Jul-Sep_3m,3,2005-07-01,2005-10-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jul-Sep_3m,3,2005-07-01,2005-10-01,primary_plus_supplemental,"LT05,LE07",True,2,6.073028310059009,0.0,0.06531850176522103,0.0,2.0
2005,Aug-Oct_3m,3,2005-08-01,2005-11-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Aug-Oct_3m,3,2005-08-01,2005-11-01,primary_plus_supplemental,"LT05,LE07",True,2,8.853721294644274,0.0,0.08863854503052603,0.0,1.0
2005,Sep-Nov_3m,3,2005-09-01,2005-12-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Sep-Nov_3m,3,2005-09-01,2005-12-01,primary_plus_supplemental,"LT05,LE07",True,4,80.08351262468483,1.1978802153986274,1.0579862531912059,1.0,3.0000000000000013
2005,Oct-Dec_3m,3,2005-10-01,2006-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Oct-Dec_3m,3,2005-10-01,2006-01-01,primary_plus_supplemental,"LT05,LE07",True,6,95.52535135995933,16.035019746506038,1.7706585314184489,2.0,5.0
2005,Nov-Jan_3m,3,2004-11-01,2005-02-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Nov-Jan_3m,3,2004-11-01,2005-02-01,primary_plus_supplemental,"LT05,LE07",True,2,50.84861154402185,0.0,0.533479264606761,1.0,2.0
2005,Dec-Feb_3m,3,2004-12-01,2005-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Dec-Feb_3m,3,2004-12-01,2005-03-01,primary_plus_supplemental,"LT05,LE07",True,3,51.20332847742818,0.05213169406325222,0.5403526811856467,1.0,3.0
2005,Jan-Apr_4m,4,2005-01-01,2005-05-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jan-Apr_4m,4,2005-01-01,2005-05-01,primary_plus_supplemental,"LT05,LE07",True,5,27.000268767221392,0.02868870271532356,0.3014512564248967,0.0,4.0
2005,Feb-May_4m,4,2005-02-01,2005-06-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Feb-May_4m,4,2005-02-01,2005-06-01,primary_plus_supplemental,"LT05,LE07",True,4,18.78304640476168,0.000310291154181436,0.1914300075028441,0.0,3.0
2005,Mar-Jun_4m,4,2005-03-01,2005-07-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Mar-Jun_4m,4,2005-03-01,2005-07-01,primary_plus_supplemental,"LT05,LE07",True,3,18.37632591160309,0.000310291154181436,0.18455659092395837,0.0,3.0
2005,Apr-Jul_4m,4,2005-04-01,2005-08-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Apr-Jul_4m,4,2005-04-01,2005-08-01,primary_plus_supplemental,"LT05,LE07",True,2,13.710570489759327,0.0,0.14431460684012334,0.0,2.0
2005,May-Aug_4m,4,2005-05-01,2005-09-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,May-Aug_4m,4,2005-05-01,2005-09-01,primary_plus_supplemental,"LT05,LE07",True,2,6.073028310059009,0.0,0.06531850176522103,0.0,2.0
2005,Jun-Sep_4m,4,2005-06-01,2005-10-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jun-Sep_4m,4,2005-06-01,2005-10-01,primary_plus_supplemental,"LT05,LE07",True,2,6.073028310059009,0.0,0.06531850176522103,0.0,2.0
2005,Jul-Oct_4m,4,2005-07-01,2005-11-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jul-Oct_4m,4,2005-07-01,2005-11-01,primary_plus_supplemental,"LT05,LE07",True,3,13.918785249080695,0.0,0.14604256338283128,0.0,2.0
2005,Aug-Nov_4m,4,2005-08-01,2005-12-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Aug-Nov_4m,4,2005-08-01,2005-12-01,primary_plus_supplemental,"LT05,LE07",True,5,80.09468407882395,1.95840193388245,1.0659007366041215,1.0,3.0000000000000013
2005,Sep-Dec_4m,4,2005-09-01,2006-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Sep-Dec_4m,4,2005-09-01,2006-01-01,primary_plus_supplemental,"LT05,LE07",True,6,95.52535135995933,16.035019746506038,1.7706585314184489,2.0,5.0
2005,Oct-Jan_4m,4,2004-10-01,2005-02-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Oct-Jan_4m,4,2004-10-01,2005-02-01,primary_plus_supplemental,"LT05,LE07",True,2,50.84861154402185,0.0,0.533479264606761,1.0,2.0
2005,Nov-Feb_4m,4,2004-11-01,2005-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Nov-Feb_4m,4,2004-11-01,2005-03-01,primary_plus_supplemental,"LT05,LE07",True,3,51.20332847742818,0.05213169406325222,0.5403526811856467,1.0,3.0
2005,Dec-Mar_4m,4,2004-12-01,2005-04-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Dec-Mar_4m,4,2004-12-01,2005-04-01,primary_plus_supplemental,"LT05,LE07",True,5,55.587726190907794,0.22680696221859398,0.6379986836217871,1.0,4.0
2005,Jan-Jun_6m,6,2005-01-01,2005-07-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jan-Jun_6m,6,2005-01-01,2005-07-01,primary_plus_supplemental,"LT05,LE07",True,5,27.000268767221392,0.02868870271532356,0.3014512564248967,0.0,4.0
2005,Feb-Jul_6m,6,2005-02-01,2005-08-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Feb-Jul_6m,6,2005-02-01,2005-08-01,primary_plus_supplemental,"LT05,LE07",True,5,23.374104962071172,0.004923333935473236,0.24883402585514933,0.0,3.0
2005,Mar-Aug_6m,6,2005-03-01,2005-09-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Mar-Aug_6m,6,2005-03-01,2005-09-01,primary_plus_supplemental,"LT05,LE07",True,5,23.18136046003158,0.18898321402909984,0.2498750926891794,0.0,3.0
2005,Apr-Sep_6m,6,2005-04-01,2005-10-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Apr-Sep_6m,6,2005-04-01,2005-10-01,primary_plus_supplemental,"LT05,LE07",True,3,13.919952661761773,0.1877419356543939,0.15222909025303916,0.0,3.0
2005,May-Oct_6m,6,2005-05-01,2005-11-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,May-Oct_6m,6,2005-05-01,2005-11-01,primary_plus_supplemental,"LT05,LE07",True,3,13.918785249080695,0.0,0.14604256338283128,0.0,2.0
2005,Jun-Nov_6m,6,2005-06-01,2005-12-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jun-Nov_6m,6,2005-06-01,2005-12-01,primary_plus_supplemental,"LT05,LE07",True,6,80.23152472930501,4.2556368542129634,1.1233047549564268,1.0,4.0
2005,Jul-Dec_6m,6,2005-07-01,2006-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jul-Dec_6m,6,2005-07-01,2006-01-01,primary_plus_supplemental,"LT05,LE07",True,8,95.58306687488759,19.0186537774821,1.8359770331836698,2.0,6.0
2005,Aug-Jan_6m,6,2004-08-01,2005-02-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Aug-Jan_6m,6,2004-08-01,2005-02-01,primary_plus_supplemental,"LT05,LE07",True,2,50.84861154402185,0.0,0.533479264606761,1.0,2.0
2005,Sep-Feb_6m,6,2004-09-01,2005-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Sep-Feb_6m,6,2004-09-01,2005-03-01,primary_plus_supplemental,"LT05,LE07",True,3,51.20332847742818,0.05213169406325222,0.5403526811856467,1.0,3.0
2005,Oct-Mar_6m,6,2004-10-01,2005-04-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Oct-Mar_6m,6,2004-10-01,2005-04-01,primary_plus_supplemental,"LT05,LE07",True,5,55.587726190907794,0.22680696221859398,0.6379986836217871,1.0,4.0
2005,Nov-Apr_6m,6,2004-11-01,2005-05-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Nov-Apr_6m,6,2004-11-01,2005-05-01,primary_plus_supplemental,"LT05,LE07",True,6,59.330703808766984,0.7333909846399616,0.724909272109605,1.0,5.0
2005,Dec-May_6m,6,2004-12-01,2005-06-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Dec-May_6m,6,2004-12-01,2005-06-01,primary_plus_supplemental,"LT05,LE07",True,6,59.330703808766984,0.7333909846399616,0.724909272109605,1.0,5.0
2005,Jan-Dec_12m,12,2005-01-01,2006-01-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Jan-Dec_12m,12,2005-01-01,2006-01-01,primary_plus_supplemental,"LT05,LE07",True,13,96.45939579303916,32.2245642034085,2.137428289608567,2.0,8.0
2005,Feb-Jan_12m,12,2004-02-01,2005-02-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Feb-Jan_12m,12,2004-02-01,2005-02-01,primary_plus_supplemental,"LT05,LE07",True,6,83.68942727138831,14.8184398483258,1.571257236212412,2.0,6.000000000000001
2005,Mar-Feb_12m,12,2004-03-01,2005-03-01,primary_only,LT05,False,0,0.0,0.0,0.0,0.0,0.0
2005,Mar-Feb_12m,12,2004-03-01,2005-03-01,primary_plus_supplemental,"LT05,LE07",True,5,58.785507233806634,1.2032000225054704,0.7080153131599934,1.0,4.0
