epoch,acquisition_month,sensor_key,scene_count,positive_core_scene_count,median_valid_fraction_core,maximum_valid_fraction_core,median_valid_fraction_context,median_cloud_cover_scene_pct
2000,2,LE07,3,2,0.0155269055393211,0.0562000076699427,0.010236236773862,72.0
2000,3,LE07,5,4,0.0582723157542073,0.2522056105380081,0.097467415767743,50.0
2000,4,LE07,3,0,0.0,0.0,0.0,73.0
2000,5,LE07,5,4,0.0198772767966967,0.9706612313316592,0.0430792766290404,73.0
2000,6,LE07,2,2,0.1414811087794707,0.1605130740700034,0.157053831017367,73.5
2000,7,LE07,1,0,0.0,0.0,0.0,91.0
2000,10,LE07,7,1,0.0,0.0315275786619015,0.0,85.0
2000,11,LE07,4,3,0.0431461228404897,0.2098236724420093,0.0774657302767903,84.5
2000,12,LE07,10,10,0.0667913872204462,0.7303458139535156,0.1068970704572538,45.5
2000,2,LT05,1,1,0.9288684247459292,0.9288684247459292,0.8154552928859043,64.0
2005,1,LE07,7,5,0.104610447783321,0.7363132381306495,0.1679801234534924,39.0
2005,2,LE07,6,4,0.0112453222065502,0.75419127090601,0.0152729673324512,74.0
2005,3,LE07,4,4,0.0538154565190576,0.1563404966665838,0.0551734270496725,74.5
2005,4,LE07,5,3,9.532486951154664e-05,0.7411858705491349,0.016732597128206,39.0
2005,5,LE07,2,0,0.0,0.0,0.0004406107889281,77.5
2005,7,LE07,1,1,0.0573422802704275,0.0573422802704275,0.0904245234170033,62.0
2005,8,LE07,1,1,0.0079062250446811,0.0079062250446811,0.01505564417851,88.0
2005,10,LE07,1,1,0.0806309879017615,0.0806309879017615,0.0663613671847602,44.0
2005,11,LE07,7,5,0.1121130395156495,0.7327498463457367,0.0955511003685802,35.0
2005,12,LE07,7,3,0.0,0.6059375898868017,0.0,59.0
2010,1,LE07,7,5,0.086597450480753,0.7516076546023943,0.1692279935546922,32.0
2010,2,LE07,6,3,0.0010192416620041,0.7368480525912148,0.0004699676337665,77.0
2010,3,LE07,7,4,0.0045519216900653,0.386779132513751,0.0050812260740638,82.0
2010,5,LE07,5,3,0.0001179193330692,0.252063520259176,0.0050858142431045,84.0
2010,7,LE07,1,0,0.0,0.0,0.0,88.0
2010,9,LE07,3,3,0.0005397240450286,0.2703454580042341,0.0025665278509553,62.0
2010,10,LE07,3,1,0.0,0.0332430186108802,0.0,95.0
2010,11,LE07,8,6,0.034040334794312,0.3410775165890534,0.0431203882234747,63.0
2010,12,LE07,12,10,0.0791046513599732,0.7547161229046729,0.1255860902817168,48.0
2015,1,LC08,10,9,0.3727777622302207,0.9988759215315824,0.3548806993243084,44.900000000000006
2015,2,LC08,7,1,0.0,0.1132471919828414,0.0,99.97
2015,3,LC08,6,4,0.150267284759569,0.2784506021331459,0.1478235431527406,70.745
2015,4,LC08,7,4,0.3017998345745521,0.693808118101605,0.2574084675715563,71.43
2015,5,LC08,10,9,0.2869458720924506,0.9490599091442404,0.2483954467438138,36.73
2015,6,LC08,3,3,0.0034540076531318,0.0114900708278256,0.0128971416283753,68.28
2015,7,LC08,3,3,0.3710747137371012,0.5934748983637005,0.3558215331126683,59.16
2015,8,LC08,2,0,0.0,0.0,0.0048142298117557,84.97999999999999
2015,10,LC08,7,7,0.0387412258477518,0.2188862847526434,0.1255875187443525,71.44
2015,11,LC08,8,8,0.2720725464345137,0.6184552701442015,0.2832179848015751,34.0
2015,12,LC08,9,7,0.159083846460528,0.9915052804394312,0.1989727287040516,66.65
2015,1,LE07,11,10,0.0838476453409242,0.7355609422231408,0.1674763365724742,38.0
2015,2,LE07,10,6,0.0245904218138564,0.3393084295626647,0.0345909086119844,79.5
2015,3,LE07,12,7,0.0024684770024225,0.6031369889134685,0.0232041973509297,69.5
2015,4,LE07,10,6,0.0052716086456138,0.6020313367719243,0.0115832032576827,84.0
2015,5,LE07,10,9,0.10985165436736,0.6682229037719429,0.1478817878346414,43.0
2015,6,LE07,4,2,0.0126268389458334,0.1392544250115486,0.0219145849924399,71.0
2015,8,LE07,2,2,0.0048966175931881,0.0097901320580623,0.0031756405788082,59.5
2015,9,LE07,5,2,0.0,0.0869193171820006,0.0013499225091404,60.0
2015,10,LE07,8,4,0.0117746287235434,0.1875137019910097,0.0230129477419799,83.5
2015,11,LE07,6,4,0.0074654815326904,0.2040008895881873,0.0053324542614455,83.5
