epoch,earth_engine_asset_id,in_previous_manifest,in_new_manifest,change
2000,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000315,False,True,ADDED
2000,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000502,False,True,ADDED
2000,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000518,False,True,ADDED
2000,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000315,False,True,ADDED
2000,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000502,False,True,ADDED
2000,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000518,False,True,ADDED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185057_20050719,True,False,REMOVED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185057_20051023,False,True,ADDED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185057_20051108,False,True,ADDED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185057_20051124,False,True,ADDED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185057_20051226,False,True,ADDED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185058_20050820,True,False,REMOVED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185058_20051108,False,True,ADDED
2005,LANDSAT/LE07/C02/T1_L2/LE07_185058_20051226,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185057_20090220,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185057_20090324,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185057_20090511,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185057_20091221,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185057_20100122,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185057_20100919,True,False,REMOVED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090220,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090324,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090511,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090527,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185058_20091018,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185058_20091221,False,True,ADDED
2010,LANDSAT/LE07/C02/T1_L2/LE07_185058_20100122,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150301,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150418,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150504,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150520,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150707,True,False,REMOVED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185058_20150418,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185058_20150504,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185058_20150520,False,True,ADDED
2015,LANDSAT/LC08/C02/T1_L2/LC08_185058_20150707,True,False,REMOVED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150309,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150410,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150426,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150512,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150528,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150309,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150325,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150410,False,True,ADDED
2015,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150512,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185057_20191209,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185057_20191225,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200110,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200126,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200211,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200227,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200805,True,False,REMOVED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185058_20191209,False,True,ADDED
