acquisition_date,acquisition_month,acquisition_year,candidate_for_composite,cloud_cover_land_pct,cloud_cover_scene_pct,collection_id,day_of_year,earth_engine_asset_id,epoch,has_positive_core_coverage,landsat7_orbit_drift_period,landsat_product_id,landsat_scene_id,relative_year,sensor_key,sensor_role,slc_off,system_index,valid_area_context_m2,valid_area_core_m2,valid_fraction_context,valid_fraction_core,wrs_path,wrs_row,selected_window_name,selected_sensor_mode,selection_status
2000-03-15,3,2000,True,50.0,50.0,LANDSAT/LE07/C02/T1_L2,75,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000315,2000,True,False,LE07_L2SP_185057_20000315_20200918_02_T1,LE71850572000075EDC00,0,LE07,supplemental,False,LE07_185057_20000315,218842238.43366817,73071276.07382166,0.2764180393036873,0.2522056105380081,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2000-03-15,3,2000,True,50.0,50.0,LANDSAT/LE07/C02/T1_L2,75,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000315,2000,True,False,LE07_L2SP_185058_20000315_20200918_02_T1,LE71850582000075EDC00,0,LE07,supplemental,False,LE07_185058_20000315,67634172.10432847,16436189.789471315,0.0854282307511364,0.0567295318147218,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2000-05-02,5,2000,True,61.0,61.0,LANDSAT/LE07/C02/T1_L2,123,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000502,2000,True,False,LE07_L2SP_185057_20000502_20200918_02_T1,LE71850572000123EDC00,0,LE07,supplemental,False,LE07_185057_20000502,28497526.064986885,5759023.271959731,0.0359950178551889,0.0198772767966967,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2000-05-02,5,2000,True,80.0,80.0,LANDSAT/LE07/C02/T1_L2,123,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000502,2000,True,False,LE07_L2SP_185058_20000502_20200918_02_T1,LE71850582000123EDC00,0,LE07,supplemental,False,LE07_185058_20000502,34106186.95997913,4850476.284908999,0.0430792766290404,0.0167414256129826,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2000-05-18,5,2000,True,22.0,22.0,LANDSAT/LE07/C02/T1_L2,139,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000518,2000,True,False,LE07_L2SP_185057_20000518_20200918_02_T1,LE71850572000139EDC00,0,LE07,supplemental,False,LE07_185057_20000518,697586529.0063759,281228695.33910614,0.8811164698950625,0.97066123133187,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2000-05-18,5,2000,True,73.0,73.0,LANDSAT/LE07/C02/T1_L2,139,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000518,2000,True,False,LE07_L2SP_185058_20000518_20200918_02_T1,LE71850582000139EDC00,0,LE07,supplemental,False,LE07_185058_20000518,109682618.07083738,30432053.09069824,0.1385393169519495,0.1050362733765683,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2005-10-23,10,2005,True,44.0,44.0,LANDSAT/LE07/C02/T1_L2,296,LANDSAT/LE07/C02/T1_L2/LE07_185057_20051023,2005,True,False,LE07_L2SP_185057_20051023_20200914_02_T1,LE71850572005296ASN00,0,LE07,supplemental,True,LE07_185057_20051023,52538792.97029574,23361134.450998586,0.0663613671847602,0.0806309879017615,185,57,Oct-Dec_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2005-11-08,11,2005,True,5.0,5.0,LANDSAT/LE07/C02/T1_L2,312,LANDSAT/LE07/C02/T1_L2/LE07_185057_20051108,2005,True,False,LE07_L2SP_185057_20051108_20200914_02_T1,LE71850572005312ASN00,0,LE07,supplemental,True,LE07_185057_20051108,563891610.8376038,212298870.75533813,0.7122473913772045,0.7327498463457367,185,57,Oct-Dec_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2005-11-08,11,2005,True,18.0,18.0,LANDSAT/LE07/C02/T1_L2,312,LANDSAT/LE07/C02/T1_L2/LE07_185058_20051108,2005,True,False,LE07_L2SP_185058_20051108_20200914_02_T1,LE71850582005312ASN00,0,LE07,supplemental,True,LE07_185058_20051108,149753344.75945234,32482397.375885144,0.1891523603206232,0.1121130395156495,185,58,Oct-Dec_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2005-11-24,11,2005,True,66.0,66.0,LANDSAT/LE07/C02/T1_L2,328,LANDSAT/LE07/C02/T1_L2/LE07_185057_20051124,2005,True,False,LE07_L2SP_185057_20051124_20200914_02_T1,LE71850572005328ASN00,0,LE07,supplemental,True,LE07_185057_20051124,75648524.0331464,38042300.670824,0.0955511003685802,0.1313030534359716,185,57,Oct-Dec_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
