window_name,number_of_months,minimum_epoch_coverage_1_pct,minimum_epoch_coverage_3_pct,median_epoch_coverage_3_pct,total_scene_count
Apr-Jul_4m,4,99.29857623349821,66.10323064380431,66.10323064380431,8
Apr-Jun_3m,3,99.29857623349821,66.10323064380431,66.10323064380431,8
Apr-Mar_12m,12,99.99999999983974,93.13259747785794,93.13259747785794,42
Apr-Sep_6m,6,99.30587944735944,66.10323064380431,66.10323064380431,9
Aug-Jan_6m,6,99.99999330925422,92.05031841879325,92.05031841879325,24
Aug-Jul_12m,12,99.9999999996658,93.13259747785794,93.13259747785794,39
Aug-Nov_4m,4,15.58681198790377,5.39509836595171,5.39509836595171,3
Aug-Oct_3m,3,12.073733385514185,0.0,0.0,2
Dec-Feb_3m,3,99.99850619910349,84.28845013067622,84.28845013067622,16
Dec-Mar_4m,4,99.99966266158692,84.28845013067622,84.28845013067622,19
Dec-May_6m,6,99.99997777963641,84.64614702896776,84.64614702896776,25
Dec-Nov_12m,12,99.99999800263895,87.09824271688724,87.09824271688724,30
Feb-Apr_3m,3,99.58521430847968,67.12832615982062,67.12832615982062,9
Feb-Jan_12m,12,99.99999999999997,96.27986432561814,96.27986432561814,45
Feb-Jul_6m,6,99.99500498331224,81.88893838720487,81.88893838720487,15
Feb-May_4m,4,99.95309254940888,77.57867623865769,77.57867623865769,13
Jan-Apr_4m,4,99.98762188217746,82.78798056834006,82.78798056834006,13
Jan-Dec_12m,12,99.99998070746081,87.09824271688724,87.09824271688724,28
Jan-Jun_6m,6,99.99985093770988,87.09824271688724,87.09824271688724,19
Jan-Mar_3m,3,99.97874861143323,82.78798056834006,82.78798056834006,11
Jul-Dec_6m,6,87.05739782385776,36.64322634288394,36.64322634288394,9
Jul-Jun_12m,12,99.9999999996658,93.13259747785794,93.13259747785794,39
Jul-Oct_4m,4,12.073733385514185,0.0,0.0,2
Jul-Sep_3m,3,1.0411985179324068,0.0,0.0,1
Jun-Aug_3m,3,89.46220997785885,41.80581205667388,41.80581205667388,3
Jun-May_12m,12,99.99999999757246,93.13259747785794,93.13259747785794,38
Jun-Nov_6m,6,91.01112344683979,45.1749505747198,45.1749505747198,5
Jun-Sep_4m,4,89.46220997785885,41.80581205667388,41.80581205667388,3
Mar-Aug_6m,6,99.8432498425607,74.52738350661544,74.52738350661544,12
Mar-Feb_12m,12,99.99999999999312,93.13259747785794,93.13259747785794,45
Mar-Jun_4m,4,99.841600590254,74.52738350661544,74.52738350661544,11
Mar-May_3m,3,98.51249496232171,61.27305858515149,61.27305858515149,9
May-Apr_12m,12,99.99999999855503,93.13259747785794,93.13259747785794,38
May-Aug_4m,4,98.80829817684533,66.10323064380431,66.10323064380431,7
May-Jul_3m,3,98.79575964410743,66.10323064380431,66.10323064380431,6
May-Oct_6m,6,98.94115641399867,66.10323064380431,66.10323064380431,8
Nov-Apr_6m,6,99.99999996493946,93.13259747785794,93.13259747785794,28
Nov-Feb_4m,4,99.99999973345031,93.13259747785794,93.13259747785794,23
Nov-Jan_3m,3,99.99999154731272,92.05031841879325,92.05031841879325,19
Nov-Oct_12m,12,99.99999999962877,93.13259747785794,93.13259747785794,36
Oct-Dec_3m,3,86.92122177885553,36.64322634288394,36.64322634288394,8
Oct-Jan_4m,4,99.9999926613995,92.05031841879325,92.05031841879325,21
Oct-Mar_6m,6,99.99999994773997,93.13259747785794,93.13259747785794,28
Oct-Sep_12m,12,99.99999999963725,93.13259747785794,93.13259747785794,37
Sep-Aug_12m,12,99.99999999965172,93.13259747785794,93.13259747785794,38
Sep-Dec_4m,4,86.92122177885553,36.64322634288394,36.64322634288394,8
Sep-Feb_6m,6,99.99999977781617,93.13259747785794,93.13259747785794,26
Sep-Nov_3m,3,14.69865565480517,0.0,0.0,2
