window_name,number_of_months,minimum_epoch_coverage_1_pct,minimum_epoch_coverage_3_pct,median_epoch_coverage_3_pct,total_scene_count
Apr-Jul_4m,4,0.0,0.0,0.0,17
Apr-Jun_3m,3,0.0,0.0,0.0,15
Apr-Mar_12m,12,0.0,0.0,0.0,61
Apr-Sep_6m,6,0.0,0.0,0.0,19
Aug-Jan_6m,6,0.0,0.0,0.0,33
Aug-Jul_12m,12,0.0,0.0,0.0,65
Aug-Nov_4m,4,0.0,0.0,0.0,11
Aug-Oct_3m,3,0.0,0.0,0.0,6
Dec-Feb_3m,3,0.0,0.0,0.0,27
Dec-Mar_4m,4,0.0,0.0,0.0,34
Dec-May_6m,6,0.0,0.0,0.0,48
Dec-Nov_12m,12,0.0,0.0,0.0,62
Feb-Apr_3m,3,0.0,0.0,0.0,19
Feb-Jan_12m,12,0.0,0.0,0.0,57
Feb-Jul_6m,6,0.0,0.0,0.0,32
Feb-May_4m,4,0.0,0.0,0.0,29
Jan-Apr_4m,4,0.0,0.0,0.0,28
Jan-Dec_12m,12,0.0,0.0,0.0,61
Jan-Jun_6m,6,0.0,0.0,0.0,39
Jan-Mar_3m,3,0.0,0.0,0.0,24
Jul-Dec_6m,6,0.0,0.0,0.0,22
Jul-Jun_12m,12,0.0,0.0,0.0,64
Jul-Oct_4m,4,0.0,0.0,0.0,8
Jul-Sep_3m,3,0.0,0.0,0.0,4
Jun-Aug_3m,3,0.0,0.0,0.0,5
Jun-May_12m,12,0.0,0.0,0.0,66
Jun-Nov_6m,6,0.0,0.0,0.0,14
Jun-Sep_4m,4,0.0,0.0,0.0,5
Mar-Aug_6m,6,0.0,0.0,0.0,26
Mar-Feb_12m,12,0.0,0.0,0.0,60
Mar-Jun_4m,4,0.0,0.0,0.0,22
Mar-May_3m,3,0.0,0.0,0.0,21
May-Apr_12m,12,0.0,0.0,0.0,63
May-Aug_4m,4,0.0,0.0,0.0,15
May-Jul_3m,3,0.0,0.0,0.0,13
May-Oct_6m,6,0.0,0.0,0.0,19
Nov-Apr_6m,6,0.0,0.0,0.0,47
Nov-Feb_4m,4,0.0,0.0,0.0,36
Nov-Jan_3m,3,0.0,0.0,0.0,28
Nov-Oct_12m,12,0.0,0.0,0.0,66
Oct-Dec_3m,3,0.0,0.0,0.0,18
Oct-Jan_4m,4,0.0,0.0,0.0,32
Oct-Mar_6m,6,0.0,0.0,0.0,47
Oct-Sep_12m,12,0.0,0.0,0.0,66
Sep-Aug_12m,12,0.0,0.0,0.0,67
Sep-Dec_4m,4,0.0,0.0,0.0,18
Sep-Feb_6m,6,0.0,0.0,0.0,41
Sep-Nov_3m,3,0.0,0.0,0.0,9
