source,epoch,asset_id,band,representation,resampled_to_30m,ground_truth
GHSL_BUILT_SURFACE,1990,JRC/GHSL/P2023A/GHS_BUILT_S/1990,built_surface,native_100m_grid,False,False
GHSL_POPULATION,1990,JRC/GHSL/P2023A/GHS_POP/1990,population_count,native_100m_grid,False,False
GHSL_BUILT_SURFACE,1995,JRC/GHSL/P2023A/GHS_BUILT_S/1995,built_surface,native_100m_grid,False,False
GHSL_POPULATION,1995,JRC/GHSL/P2023A/GHS_POP/1995,population_count,native_100m_grid,False,False
GHSL_BUILT_SURFACE,2000,JRC/GHSL/P2023A/GHS_BUILT_S/2000,built_surface,native_100m_grid,False,False
GHSL_POPULATION,2000,JRC/GHSL/P2023A/GHS_POP/2000,population_count,native_100m_grid,False,False
GHSL_BUILT_SURFACE,2005,JRC/GHSL/P2023A/GHS_BUILT_S/2005,built_surface,native_100m_grid,False,False
GHSL_POPULATION,2005,JRC/GHSL/P2023A/GHS_POP/2005,population_count,native_100m_grid,False,False
GHSL_BUILT_SURFACE,2010,JRC/GHSL/P2023A/GHS_BUILT_S/2010,built_surface,native_100m_grid,False,False
GHSL_POPULATION,2010,JRC/GHSL/P2023A/GHS_POP/2010,population_count,native_100m_grid,False,False
GHSL_BUILT_SURFACE,2015,JRC/GHSL/P2023A/GHS_BUILT_S/2015,built_surface,native_100m_grid,False,False
GHSL_POPULATION,2015,JRC/GHSL/P2023A/GHS_POP/2015,population_count,native_100m_grid,False,False
GHSL_BUILT_SURFACE,2020,JRC/GHSL/P2023A/GHS_BUILT_S/2020,built_surface,native_100m_grid,False,False
GHSL_POPULATION,2020,JRC/GHSL/P2023A/GHS_POP/2020,population_count,native_100m_grid,False,False
GHSL_BUILT_SURFACE,2025,JRC/GHSL/P2023A/GHS_BUILT_S/2025,built_surface,native_100m_grid,False,False
GHSL_POPULATION,2025,JRC/GHSL/P2023A/GHS_POP/2025,population_count,native_100m_grid,False,False
