year,day2_quality_flag,selected_sensors,selected_scene_count,coverage_at_least_1_core_pct,coverage_at_least_3_core_pct,median_observation_count,ndbi_otsu_threshold,valid_area_core_pct,raw_built_cells_core,raw_built_area_ha_core,raw_built_fraction_core,final_built_cells_core,final_built_area_ha_core,final_built_fraction_core,persistence_corrected_cells,persistence_corrected_area_ha,ibui_raw_built_fraction_core,ndbsui_raw_built_fraction_core,ibui_otsu_threshold,ndbsui_otsu_threshold
2000,PASS,LE07,11,99.26653753767252,26.332606810491793,2.0,-0.1406589466877592,99.26653753765147,113044,10162.435885619112,0.3533482923798487,113044,10162.435885619112,0.3533482923798487,0,0.0,0.3259227686716593,0.3638384106031165,-0.0312848727664981,-0.0683514234637295
2001,LIMITED,LE07,13,78.75243700287149,14.703955755338164,1.0,-0.1094143448285783,78.75243700287149,85571,7692.702543558709,0.3371498646941585,100266,9013.745249098114,0.3950475107952353,14695,1321.0427055394073,0.3271877240996311,0.314784680859486,0.0468767233308947,-0.0586048084138362
2002,LIMITED,LE07,13,86.37344907835039,17.96439136058174,2.0,-0.1484418749295125,86.37344907832933,115671,10398.71948951531,0.4155350411308649,138872,12484.490399520337,0.4988828900417213,23201,2085.7709100050265,0.3690228741038802,0.4144024098920653,-0.078127257716043,-0.0663940619380526
2003,LIMITED,LE07,15,86.93944573205418,22.711251389657725,2.0,-0.1406376597398903,86.93944573205418,113958,10244.69623434709,0.4067150755238681,150430,13523.489251737705,0.5368833615511546,36471,3278.7930173906157,0.3841937977402828,0.4016928242249825,-0.0468704227594264,-0.070322859299218
2004,LIMITED,LE07,5,80.8064778723658,11.147951969268505,2.0,-0.0585903672648982,80.8064778723658,122923,11050.598568392475,0.4720061715709429,151479,13617.82524919965,0.5816605789465286,28556,2567.226680807172,0.4529658265393106,0.4194104298567265,0.0936877945903661,-0.042965739856331
2005,PASS,LE07,13,96.45939579303916,32.22456420340849,2.0,-0.1093463920561624,96.45939579303914,120760,10856.15575144895,0.3884539841735085,182407,16398.204592538943,0.586759075044948,61647,5542.0488410899925,0.359293420786876,0.4258593795756976,0.0312031422399531,-0.0664153413930122
2006,PASS,LE07,9,99.03040480469936,56.70594469189848,2.999999999999999,-0.0859605242527598,99.03040480469936,141225,12695.914292770996,0.4424900195628188,190014,17082.069638588102,0.59536045646245,48789,4386.155345817106,0.4301859931104178,0.4244351777564727,0.0780670639031948,-0.0585714111591005
2007,LIMITED,LE07,14,92.98774405542922,46.09557307387806,2.0,-0.0781546613351853,92.98774405542922,133234,11977.499069465046,0.4445785306587966,184112,16551.43051658634,0.6143528475092399,50878,4573.931447121296,0.4451294436574781,0.4398418356345611,0.0311839918485433,-0.0507955997081301
2008,PASS,LE07,10,99.2158124984066,42.033230531862195,2.0,-0.0546774809112386,99.2158124984066,172438,15501.84572535477,0.5392753497297371,206680,18580.27382723015,0.6463671387120911,34242,3078.4281018753823,0.5290249411871459,0.4748394024213806,0.1171457920123076,-0.039059796103512
2009,PASS,LE07,11,97.54274342712856,34.86367182841514,2.0,-0.0937275571182424,97.54274342712856,154970,13931.504531374296,0.4929593477603618,205762,18497.75948752825,0.6545340046700934,50792,4566.254956153948,0.4800061895336792,0.4724651254721971,0.0234509541225315,-0.0507792740922712
2010,LIMITED,LE07,12,92.50138134435834,37.47889406409136,2.0,-0.0703223640319317,92.50138134435836,149654,13453.67417824006,0.5019965580872212,197457,17751.186174804283,0.6623494997470583,47803,4297.5119965642225,0.4779091403440201,0.4830612432124281,0.10156561908007,-0.0429855596710681
2011,PASS,LE07,12,99.881075979366,37.11952998286794,2.0,-0.0859295388998681,99.88107597938706,160748,14450.96312466043,0.499369062091592,215983,19416.622620538757,0.6709629346751702,55235,4965.659495878332,0.4728776567371001,0.4908027339457604,0.0938802073306946,-0.0410127875835751
2012,LIMITED,LE07,15,82.53556761761133,11.57174476441493,1.0,-0.1094278542238612,82.53556761763238,116127,10439.570363418545,0.43656562380649,178784,16072.46350778174,0.6721239297326885,62657,5632.893144363201,0.4180497736573784,0.476759069230264,0.0312023518174084,-0.0586049229100839
2013,PASS,LC08,11,99.0815279031655,65.92245162650639,3.0,-0.1288802058994118,99.08152790314443,150487,13528.503116770717,0.4712649090733373,217457,19549.104526222905,0.6809923379915459,66970,6020.601409452191,0.4538107516104497,0.5221432239197855,-0.0234639912902571,-0.0644737671434089
