bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,model,fold
0,16895,0.006933081524055004,0.005859721811186742,0.0010733597128682621,logistic_regression,1
1,16894,0.010736911146622601,0.012667219131052445,0.001930307984429844,logistic_regression,1
2,16895,0.014600053727465846,0.02219591595146493,0.007595862223999085,logistic_regression,1
3,16894,0.020769644475557132,0.04362495560554043,0.022855311129983298,logistic_regression,1
4,16895,0.03442726142553573,0.10375850843444806,0.06933124700891233,logistic_regression,1
5,16894,0.07415574770596849,0.15745234994672666,0.08329660224075817,logistic_regression,1
6,16894,0.15822399922871988,0.18071504676216407,0.02249104753344419,logistic_regression,1
7,16895,0.28829601462843035,0.29559041136430897,0.007294396735878617,logistic_regression,1
8,16894,0.4576643957567787,0.47910500769503966,0.021440611938260967,logistic_regression,1
9,16895,0.6624667453537754,0.698135543060077,0.0356687977063016,logistic_regression,1
0,14020,0.009564894876150068,0.00891583452211127,0.0006490603540387982,logistic_regression,2
1,14019,0.018568895454299742,0.0075611669876596045,0.011007728466640138,logistic_regression,2
2,14019,0.03083707217485667,0.011199086953420359,0.01963798522143631,logistic_regression,2
3,14020,0.05226441270893556,0.01868758915834522,0.03357682355059034,logistic_regression,2
4,14019,0.09115970035683951,0.03195663028746701,0.059203070069372504,logistic_regression,2
5,14019,0.16049116974589908,0.0499322348241672,0.11055893492173188,logistic_regression,2
6,14020,0.27491158423905426,0.08566333808844508,0.1892482461506092,logistic_regression,2
7,14019,0.4347113678227498,0.1428061915971182,0.2919051762256316,logistic_regression,2
8,14019,0.6212861896495765,0.23646479777444895,0.38482139187512754,logistic_regression,2
9,14020,0.7875046791978516,0.4349500713266762,0.35255460787117543,logistic_regression,2
0,12771,0.00652057452152893,0.028815284629238117,0.022294710107709188,logistic_regression,3
1,12771,0.01165192581909042,0.07665805340223945,0.06500612758314904,logistic_regression,3
2,12770,0.018275589829285933,0.13296789350039154,0.11469230367110561,logistic_regression,3
3,12771,0.028306217910673198,0.18682953566674496,0.15852331775607176,logistic_regression,3
4,12770,0.04605702735901787,0.26851996867658573,0.22246294131756786,logistic_regression,3
5,12771,0.07806174588933917,0.36896092710046197,0.2908991812111228,logistic_regression,3
