group_type,fold,rows,positive_prevalence,mean_predicted_probability,mean_signed_error,mean_absolute_error,mean_per_cell_log_loss,median_per_cell_log_loss,mean_latent_variance,median_latent_variance,y_true,distance_context
fold,1.0,100628,0.01703303255555114,0.22262399700872965,0.2055909644531785,0.22151641403022992,0.28203615076371663,0.19002554454916604,0.4511418363438761,0.4501186252877751,,
fold,2.0,93706,0.1227562802808785,0.1717041516704836,0.048947871389605116,0.21839889146444996,0.33447290147548614,0.1310544386605586,0.5189918720150865,0.5178232139287084,,
fold,3.0,80192,0.044904728651237034,0.14103474884059955,0.09613002018936251,0.15799254408667449,0.20732612815242352,0.10287269981165559,0.5940553438397775,0.5896197415975248,,
true_class,,257708,0.0,0.17153047968331303,0.17153047968331303,0.17153047968331303,0.2102577419937715,0.12778904113391926,0.515373910136828,0.5167909567737576,0.0,
true_class,,16818,1.0,0.3327981049011124,-0.6672018950988876,0.6672018950988876,1.3178526685563952,1.1273426519537426,0.5263800431867669,0.5172385628412817,1.0,
distance_context,,110234,0.11004771667543589,0.2829586058045289,0.17291088912909305,0.30813591744029645,0.4306251145088727,0.3201713700832861,0.5124585838528719,0.5165084306080263,,near_built
distance_context,,77229,0.038055652669334056,0.1474749630012298,0.10941931033189574,0.16835089911357362,0.22465716123522894,0.1283681675454634,0.5218473290639335,0.5178628610779319,,intermediate
distance_context,,87063,0.020077415205081377,0.08293732718348464,0.06285991197840325,0.09713830237005978,0.13242332076434024,0.06196392319970448,0.5154489541038179,0.516935827001218,,peripheral
fold_x_distance_context,1.0,40937,0.0371302244912915,0.341111354575493,0.3039811300842015,0.3369886415151741,0.45345614555950586,0.3912819787232163,0.4507911437452364,0.4499373775337381,,near_built
fold_x_distance_context,1.0,27464,0.005316050101951646,0.18464096158872928,0.17932491148677765,0.1858679081951021,0.21989765588037263,0.17458193964699598,0.4509761773830161,0.44999547543318574,,intermediate
fold_x_distance_context,1.0,32227,0.0014894343252552207,0.1044823495722416,0.1029929152469864,0.10521529967595522,0.11724114336373946,0.0836909118588601,0.4517284860665179,0.45057618900763474,,peripheral
fold_x_distance_context,2.0,41055,0.20012178784557302,0.26222010425233205,0.06209831640675905,0.3173277100873193,0.47176906670564134,0.31961675209902357,0.5187028994630923,0.517479379207104,,near_built
fold_x_distance_context,2.0,21952,0.08659803206997084,0.13371628542693115,0.047118253356960293,0.18456067642653726,0.2899004173701002,0.1102240771859728,0.5189135336322648,0.5178014820798826,,intermediate
fold_x_distance_context,2.0,30699,0.04514805042509528,0.07781761486246627,0.03266956443737099,0.11029419254755893,0.18273379295590586,0.05625281384961416,0.5194343441575608,0.5183827588934256,,peripheral
fold_x_distance_context,3.0,28242,0.08480277600736491,0.2288130107612773,0.1440102347539124,0.2529516878327335,0.33772096906739874,0.23160619428345228,0.5927687466709683,0.5888726190153654,,near_built
fold_x_distance_context,3.0,27813,0.03207133354905979,0.12163465468871117,0.08956332113965138,0.1382597845632096,0.17786232056335174,0.10141228857454106,0.5941447434773626,0.5894511537217948,,intermediate
fold_x_distance_context,3.0,24137,0.013009073207109418,0.060682639857821644,0.04767356665071223,0.06962162404482723,0.08870599240042959,0.04629968638604118,0.5954577387157504,0.5912312377789347,,peripheral
fold_x_true_class,1.0,98914,0.0,0.21725418687965517,0.21725418687965517,0.21725418687965517,0.2747912711081872,0.18537507931635008,0.45116092724954904,0.45013119645847616,0.0,
fold_x_true_class,1.0,1714,1.0,0.5325127946209078,-0.46748720537909216,0.46748720537909216,0.7001341824130952,0.5636195911030366,0.45004011064741817,0.4492921044730299,1.0,
fold_x_true_class,2.0,82203,0.0,0.15237884116152747,0.15237884116152747,0.15237884116152747,0.18391616530843985,0.1027798685427311,0.519140514964713,0.5179778952529906,0.0,
fold_x_true_class,2.0,11503,1.0,0.3098071247877331,-0.690192875212267,0.690192875212267,1.4103848707999844,1.193570922468929,0.5179296363906275,0.5168950671433253,1.0,
fold_x_true_class,3.0,76591,0.0,0.13303519130461777,0.13303519130461777,0.13303519130461777,0.15518713486553193,0.09572320257938245,0.5942596378678364,0.5897722909865769,0.0,
fold_x_true_class,3.0,3601,1.0,0.31118029486625337,-0.6888197051337466,0.6888197051337466,1.3162896479625632,1.1980060952703662,0.5897101386459269,0.5878273686303596,1.0,
