fold,latent_uncertainty_quintile,rows,mean_per_cell_log_loss,mean_absolute_error,positive_prevalence
1,1,20126,0.4084020527221449,0.3114925774780083,0.02678127794892179
1,2,20125,0.30674136942627506,0.24134490466713365,0.023801242236024846
1,3,20126,0.2713687936652709,0.21528052036114098,0.014508595846169134
1,4,20125,0.2214510240056857,0.17628342289090593,0.010633540372670808
1,5,20126,0.20221573123521494,0.16317938248125363,0.009440524694425122
2,1,18742,0.38495346737408337,0.2755512142077377,0.13835236367516807
2,2,18741,0.4218475234351882,0.2777424612334178,0.17320313750600289
2,3,18741,0.35241953192556574,0.22091363443533502,0.12811482845098981
2,4,18741,0.295918148740682,0.17098540514278973,0.10794514700389521
2,5,18741,0.2172231423121402,0.14679869271528798,0.06616509257777066
3,1,16039,0.3194025282397303,0.23879437609273751,0.07506702412868632
3,2,16038,0.24497381403662497,0.18776790873190344,0.05424616535727647
3,3,16038,0.21437095991160482,0.16417442909611116,0.05031799476243921
3,4,16038,0.1716100023269098,0.132470452496975,0.03061478987404913
3,5,16039,0.08627389590756424,0.06675620462715887,0.01427769811085479
overall,1,54906,0.3353716622447729,0.26070068168063415,0.022456562124357992
overall,2,54905,0.24274816511178424,0.19012646268131228,0.029141243966851835
overall,3,54905,0.37780196642436736,0.2432974855138627,0.1448501957927329
overall,4,54905,0.2688953001048482,0.18774197230771106,0.0759493670886076
overall,5,54905,0.1657377368555091,0.1276137298321186,0.03391312266642382
