probability_bin,cell_count,mean_predicted_probability,observed_conversion_rate
"(-0.001, 0.1]",52070,0.04681267660652936,0.01144613020933359
"(0.1, 0.2]",22418,0.144357985865089,0.034168971362298156
"(0.2, 0.3]",13892,0.2475913329409251,0.06528937517995968
"(0.3, 0.4]",10854,0.34858440337518337,0.10364842454394693
"(0.4, 0.5]",9755,0.449247247587326,0.14751409533572526
"(0.5, 0.6]",9236,0.5498907017996308,0.2030099610220875
"(0.6, 0.7]",9307,0.6499468253413397,0.27774793166433864
"(0.7, 0.8]",8392,0.7479051535367665,0.3715443279313632
"(0.8, 0.9]",3920,0.8374712894181334,0.4655612244897959
"(0.9, 1.0]",350,0.9171878497628935,0.5085714285714286
