fold,iteration,elbo_stochastic,natural_gradient_gamma,minimum_site_precision_eigenvalue,gradient_global_norm,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance,linear_intercept,elapsed_seconds
1,0,-74404.28715316622,0.01,3.7904062724657823,75524.76874087367,2.002000980721976,2.0020009799261507,1.0,0.9990005105930295,-0.0009999916041627513,0.1333209581207484
1,50,-63303.58203982016,0.01,61.147573447876916,34668.69119853464,2.108488708574752,2.1077784580283963,1.0,0.9481376791119529,-0.03874133074892268,3.6228858751710504
1,100,-64571.250405305735,0.01,68.53097395157856,21418.64542566827,2.23053416060205,2.231888366331677,1.0,0.894800881220263,-0.0814217169142685,6.720883124973625
1,150,-64660.03155934698,0.01,62.72310646171052,16434.702817253736,2.3717556487259555,2.3662472645055024,1.0,0.8428203576078203,-0.1301600463668371,10.806120292050764
1,200,-61666.356493374726,0.01,53.64593129510852,15883.370184270494,2.5125767531616017,2.5021553576253877,1.0,0.7970922605876334,-0.16919737736744733,14.107069208053872
1,250,-52421.49438379702,0.01,44.78819786763243,11466.058631930226,2.6615509833503945,2.631885577826997,1.0,0.7550396840157642,-0.21009759360635283,17.554919042158872
1,300,-55612.76894532909,0.01,37.624437707254394,12698.157790545538,2.805573783070314,2.7429177728054692,1.0,0.719891856130742,-0.22834408750058607,21.212894750060514
1,350,-51598.9228624943,0.01,31.985405858478305,10615.118293039513,2.959034090313212,2.8561324680930182,1.0,0.6870920596206234,-0.2591939571308183,24.82004262506962
1,400,-56209.70261270044,0.01,26.980797330492674,9710.893408847474,3.0983096312162104,2.9626723968764628,1.0,0.6596288407022197,-0.27315782076260464,28.552949292119592
1,450,-61126.32280512804,0.01,23.303758849282197,12167.327036164857,3.231536738907157,3.0579915463620813,1.0,0.6361204371527204,-0.2812563820526785,31.828738917130977
1,500,-53727.413948638205,0.01,23.741781313656872,5623.306540386635,3.3647194802506535,3.1435149533308175,1.0,0.6150158791640857,-0.28684465809674653,34.96338266716339
1,550,-53103.7333766484,0.01,26.635826794099582,10243.513531784683,3.5125500083684194,3.2264542663482456,1.0,0.5941342108512485,-0.3058964332959028,39.27001641714014
1,600,-56248.18360239984,0.01,25.181992907903396,6576.012060896605,3.6452493085806204,3.29552702737889,1.0,0.5768802575469998,-0.3153827264545442,43.12476904201321
1,650,-54049.34519026684,0.01,24.573242656139897,9650.774036140541,3.7835194923872693,3.3524681222362114,1.0,0.5609440109910415,-0.3190731656723325,46.411374791990966
1,700,-53666.5102102469,0.01,24.38820690935994,6543.400170965816,3.921101568010164,3.4005004362185263,1.0,0.5464775256820208,-0.3216228703102166,49.544848582940176
1,750,-55723.793472019286,0.01,22.89640096351565,5447.422032065189,4.050811648989435,3.4514698811356865,1.0,0.5329580178762562,-0.33191739495790135,52.775318917119876
1,800,-49203.51547458344,0.01,20.46938677819042,12497.572539186982,4.192083371345537,3.4984823604281687,1.0,0.5198339213858442,-0.3463019532197823,55.98427625000477
1,850,-47981.26730413015,0.01,18.867769177591093,9629.793913760563,4.314599753299566,3.5362948868143893,1.0,0.50922664235154,-0.3425350974305388,59.42028758302331
1,900,-51779.69767291142,0.01,17.2504280269193,4898.3260613771845,4.457675610289914,3.5424456463674305,1.0,0.4988129091426228,-0.34041440417720265,63.00400254200213
1,950,-54434.59771588268,0.01,16.395868557685162,7754.503775342355,4.603122338311984,3.5638482066939745,1.0,0.4883768866374624,-0.3566146704193242,66.17397558316588
1,999,-51594.04343061192,0.01,23.608176611217313,15423.355120991559,4.737861682460203,3.568017561044328,1.0,0.4798070724021863,-0.3482441348893025,69.28467316715978
2,0,-143079.80741499807,0.01,1.5753937321781755,132418.354089412,2.002000981545404,2.002000981123274,0.9990006105266552,0.9990005102722764,-0.0009999917321773335,0.14813129091635346
2,50,-126957.45464295568,0.01,56.469189155598805,52241.055900579835,2.1077981179819867,2.1072943861478213,0.9865075295916866,0.9483378024076475,-0.03965164384603393,6.152470791013911
2,100,-129467.39024881012,0.01,59.24432654688979,47760.24128266404,2.2282302116310326,2.2323421356421207,0.9851439962120155,0.8955381021329614,-0.08212997666207647,12.298679457977414
2,150,-119305.9360318193,0.01,52.39636067532974,26957.390240267614,2.3604146978064726,2.3616055983724045,0.9860285412142799,0.8465446738751866,-0.1223715963577799,18.38015458290465
2,200,-98884.68135167373,0.01,44.376895356828264,34181.431076885354,2.4905076508392074,2.4929483789015383,0.9847648443471742,0.8025106329357478,-0.15792412672727293,24.76278308290057
2,250,-124436.57110642985,0.01,36.76513816551647,23384.266094579965,2.6239837127401726,2.617829494279761,0.9750093512994671,0.7635173447085907,-0.19242810537493946,30.76385849993676
2,300,-107070.51624773785,0.01,33.91068826023189,32504.505632051787,2.7560075303193194,2.74107025650848,0.941834570072716,0.7286747898384265,-0.21024877025666405,36.95483037503436
2,350,-110889.982751757,0.01,27.781875170723715,24577.84815312447,2.8881356655058754,2.86008381916863,0.8960197343571779,0.6974450068050372,-0.2296488032980422,43.48809116589837
2,400,-102923.56082780255,0.01,23.372821364117428,33252.328552250416,3.01602454034362,2.9732371543407234,0.8712632453292101,0.6701095249181388,-0.2419398009923865,50.62732237507589
2,450,-111706.67172030962,0.01,19.60412203926115,33695.03997160918,3.146914470778336,3.076194496574047,0.8406519375150513,0.6457945912647832,-0.25314913914131937,56.7412770409137
2,500,-107432.50594901916,0.01,22.707196869357087,34964.82925522567,3.279719139598118,3.166127708761306,0.8129039770438978,0.6235806639405787,-0.2648069142499217,62.799606249900535
2,550,-102125.58736222307,0.01,27.758407338297904,21947.249222668295,3.3956816988113276,3.273834201924225,0.7947531046086648,0.6037998905503325,-0.27453824699791257,69.10315412492491
2,600,-107864.66581113671,0.01,24.938983906838914,13818.043662360422,3.526831485399816,3.3633145565373943,0.7657752622616788,0.5851322961296805,-0.27992793864743987,75.51289033307694
2,650,-108177.78346613389,0.01,22.058014097272974,24533.51246470991,3.627761180784783,3.4647794070994244,0.7420148372766586,0.5691585335272443,-0.2918292656299474,82.49342004093342
2,700,-101581.74675952725,0.01,23.92501365927806,17240.016595958372,3.7270194638135252,3.5584478497367944,0.7203143144074108,0.5546336536752812,-0.2891817463642378,88.75415091589093
2,750,-108518.99511183289,0.01,35.11626037785148,13284.317016400968,3.8441895001771327,3.6310059156900203,0.7026042358970477,0.540650365591223,-0.2954740129560543,94.74862508289516
2,800,-111350.8260800917,0.01,34.14082749407957,24190.222197030063,3.958982757949712,3.6966834693585207,0.6763840824072134,0.5282798518265955,-0.3017658553493313,100.72869970789179
2,850,-110281.29379892543,0.01,30.61681454089221,12583.408882383445,4.081845741573952,3.7600179779604384,0.6612578310525135,0.5162874157347352,-0.3081315122942658,106.78208274999633
2,900,-107288.92065225546,0.01,25.552706856764747,33305.82231446744,4.191421070666839,3.818708606070058,0.6496313510756101,0.505793015312145,-0.30453891754798446,113.3873146250844
2,950,-92079.61787033812,0.01,21.78244759321729,18036.54171671701,4.278016699938626,3.8818172457618916,0.6364780266399171,0.4969325326099542,-0.3027759367357972,119.41851379093714
2,999,-103635.72011085528,0.01,18.679221714592195,21495.65905987596,4.360739725118627,3.9367850434583747,0.6186813744160188,0.4888228547187332,-0.3026578365129426,125.71572449989617
3,0,-162237.77115900203,0.01,0.13002732239918255,128300.68970497888,2.002000982134986,2.002000982148865,0.9990005193268446,0.9990005105899903,-0.0009999923605205875,0.21855350001715124
