bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,model,fold
0,10063,0.003343538318629928,0.00029812183245553017,0.003045416486174398,st_svgp_annual_convergence_1500,1
1,10063,0.01054897533471316,9.937394415184339e-05,0.010449601390561317,st_svgp_annual_convergence_1500,1
2,10063,0.01988762145058038,0.0004968697207592169,0.019390751729821163,st_svgp_annual_convergence_1500,1
3,10062,0.03364843686618925,0.001689524945338899,0.03195891192085035,st_svgp_annual_convergence_1500,1
4,10063,0.05360640390454918,0.002086852827188711,0.05151955107736047,st_svgp_annual_convergence_1500,1
5,10063,0.08168047862064678,0.004670575375136639,0.07700990324551014,st_svgp_annual_convergence_1500,1
6,10062,0.12108930413355531,0.007453786523553965,0.11363551761000135,st_svgp_annual_convergence_1500,1
7,10063,0.1797002023447158,0.014309847957865447,0.16539035438685035,st_svgp_annual_convergence_1500,1
8,10063,0.2738129520889783,0.03249527973765279,0.24131767235132554,st_svgp_annual_convergence_1500,1
9,10063,0.46657659981269123,0.10672761601907979,0.3598489837936114,st_svgp_annual_convergence_1500,1
0,9371,0.0008753562681206925,0.028812293245117918,0.027936936976997225,st_svgp_annual_convergence_1500,2
1,9371,0.0031062697936078804,0.03478817628854978,0.031681906494941896,st_svgp_annual_convergence_1500,2
2,9370,0.007800256443769763,0.04823906083244397,0.040438804388674206,st_svgp_annual_convergence_1500,2
3,9371,0.017672615698430604,0.08195496745277986,0.06428235175434925,st_svgp_annual_convergence_1500,2
4,9370,0.0344628105508443,0.0871931696905016,0.052730359139657304,st_svgp_annual_convergence_1500,2
5,9371,0.060445451691709284,0.10575178742930318,0.04530633573759389,st_svgp_annual_convergence_1500,2
6,9370,0.10092529674900415,0.1375667022411953,0.03664140549219115,st_svgp_annual_convergence_1500,2
7,9371,0.1640835137146537,0.1879201792764913,0.023836665561837583,st_svgp_annual_convergence_1500,2
8,9370,0.2647522178590741,0.22902881536819636,0.03572340249087774,st_svgp_annual_convergence_1500,2
9,9371,0.4732990012303566,0.2863088250987088,0.1869901761316478,st_svgp_annual_convergence_1500,2
0,8020,0.0012505184036623125,0.0006234413965087282,0.0006270770071535843,st_svgp_annual_convergence_1500,3
1,8019,0.00442845056636596,0.007981045018082056,0.003552594451716096,st_svgp_annual_convergence_1500,3
2,8019,0.0089046226723052,0.01072452924304776,0.0018199065707425605,st_svgp_annual_convergence_1500,3
3,8019,0.01488015841019632,0.011971567527123082,0.0029085908830732386,st_svgp_annual_convergence_1500,3
4,8019,0.02272866740684333,0.017458535977054497,0.005270131429788834,st_svgp_annual_convergence_1500,3
5,8019,0.033905441599362054,0.026187803965581742,0.007717637633780312,st_svgp_annual_convergence_1500,3
6,8019,0.05163380443238911,0.04302282080059858,0.008610983631790532,st_svgp_annual_convergence_1500,3
7,8019,0.08070592866475267,0.06459658311510164,0.01610934554965103,st_svgp_annual_convergence_1500,3
8,8019,0.1336110596268381,0.10849233071455294,0.02511872891228517,st_svgp_annual_convergence_1500,3
9,8020,0.30135134822316806,0.15798004987531172,0.14337129834785634,st_svgp_annual_convergence_1500,3
