fold,iteration,elbo_stochastic,natural_gradient_gamma,minimum_site_precision_eigenvalue,gradient_global_norm,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,temporal_lengthscale_trainable,kernel_variance,linear_intercept,elapsed_seconds
1,0,-219798.20924726603,0.01,0.000990000075673818,196740.29901392572,2.002000983824504,2.002000983702679,7.492503820234345,True,0.999000510370724,-0.000999992911244739,0.9658899581991136
1,50,-273570.7819200477,0.01,10.543513790324244,91878.12972245042,2.104512986211009,2.104912834516099,7.1492555831488405,True,0.947916804754757,-0.03546489824870591,32.0284332500305
1,100,-233600.46933157084,0.01,16.299834793166053,58570.174414900604,2.2141354046152046,2.214427836672873,6.823971653529064,True,0.8992323805179679,-0.06313284980629513,65.180059208069
1,150,-232785.40629982107,0.01,21.74771596412826,84934.64923744365,2.322812895313012,2.3271375487526345,6.478195042029703,True,0.8576882484057596,-0.09042794677026543,93.88123137503862
1,200,-202798.48310942992,0.01,24.392802735601332,52314.2356351874,2.433331373334015,2.4365470327046768,6.16092337281467,True,0.8200177716049172,-0.10894447073868302,123.1436807080172
1,250,-184181.26798975727,0.01,21.11826460501851,51813.947508503195,2.542834443132234,2.5493941089445,5.832028218454693,True,0.7864057525472505,-0.1399481242962748,151.50420320802368
1,300,-177567.12106398353,0.01,15.46428872925242,45246.85265138602,2.6571996062420964,2.66095664020186,5.518590447045144,True,0.757080536819401,-0.15214455720757833,179.34297879203223
1,350,-246065.07588452587,0.01,11.776062891680416,66820.76198819005,2.7436760709427355,2.7730801685973954,5.249347172545563,True,0.7325637364205805,-0.16388313605121493,209.71595904207788
1,400,-199535.47831145822,0.01,8.325311928479078,71098.27908763067,2.8377128070402016,2.871917220573932,5.002680975747783,True,0.7115587365564001,-0.16865992804113575,238.95552900014445
1,450,-202144.90527706392,0.01,5.914988705842845,62549.43072850369,2.9321239232047867,2.967904952713013,4.767085731256295,True,0.6937026228477918,-0.18022017876707092,271.39773329207674
1,500,-191403.17047958652,0.01,4.381602388724541,43421.33002387643,3.022045946843363,3.0598551916455827,4.561496242583943,True,0.6780834749695039,-0.19745382044320228,301.6660878751427
1,550,-167067.0178821113,0.01,3.3955419552424613,93951.11085026863,3.10237696620263,3.1486157228067726,4.3471685469133,True,0.6668360205184862,-0.20689572641568635,331.2591707080137
1,600,-223514.0138030591,0.01,2.6760475907320598,34133.59248858126,3.1756974887444667,3.240914128000744,4.183099365554023,True,0.6536056635301446,-0.21338557883557818,363.87133979215287
1,650,-189080.2608391378,0.01,2.119579331229567,52314.126054692286,3.2578652799353183,3.33540439756723,4.01287239484055,True,0.6418876319889374,-0.21883320339505064,392.9636111250147
1,700,-190235.7180632425,0.01,1.6126511471227691,46817.869207912336,3.3270353876002963,3.411681594815472,3.8548569080951967,True,0.6328243923265697,-0.22933939356830024,425.4834028331097
1,750,-249665.00794261173,0.01,1.2300555765460108,78869.85832822694,3.398411170852831,3.469858518609078,3.7066670907101313,True,0.6264988426449294,-0.2366423588049013,454.27295395801775
1,800,-208213.04328772993,0.01,1.2310375244099128,52078.25686128628,3.455200326185613,3.5378436064576446,3.57568680372688,True,0.6196697513455061,-0.23411907478084648,485.7047849171795
