bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,model,fold
0,10063,0.0007243346249155386,0.0004968697207592169,0.00022746490415632167,st_svgp_annual,1
1,10063,0.0036669676481754184,0.0009937394415184338,0.0026732282066569846,st_svgp_annual,1
2,10063,0.008651182226593149,0.0006956176090629037,0.007955564617530246,st_svgp_annual,1
3,10062,0.017057854743445344,0.0018882925859670045,0.01516956215747834,st_svgp_annual,1
4,10063,0.03069144707902578,0.001788730994733181,0.0289027160842926,st_svgp_annual,1
5,10063,0.051317194411526976,0.005167445095895856,0.04614974931563112,st_svgp_annual,1
6,10062,0.08341311378429495,0.007453786523553965,0.07595932726074098,st_svgp_annual,1
7,10063,0.13449373117991006,0.017191692338268907,0.11730203884164116,st_svgp_annual,1
8,10063,0.2221027313956693,0.036271489615422835,0.18583124178024646,st_svgp_annual,1
9,10063,0.42251803016789036,0.09838020471032495,0.3241378254575654,st_svgp_annual,1
0,9371,0.0002462063979380603,0.023156546793298476,0.022910340395360416,st_svgp_annual,2
1,9371,0.0008760601613972381,0.0385231031906947,0.03764704302929746,st_svgp_annual,2
2,9370,0.0025537578233102943,0.07737459978655283,0.07482084196324253,st_svgp_annual,2
3,9371,0.008121462108432032,0.1047913776544659,0.09666991554603387,st_svgp_annual,2
4,9370,0.021429540310558184,0.11718249733191036,0.09575295702135217,st_svgp_annual,2
5,9371,0.04245665152596821,0.10415110447124107,0.06169445294527286,st_svgp_annual,2
6,9370,0.07574250836513989,0.12540021344717184,0.04965770508203195,st_svgp_annual,2
7,9371,0.13018850628813142,0.15249172980471667,0.022303223516585258,st_svgp_annual,2
8,9370,0.22111853948830953,0.2032017075773746,0.017916831910934933,st_svgp_annual,2
9,9371,0.43093354904363207,0.28129335183011417,0.1496401972135179,st_svgp_annual,2
0,8020,6.820479961909401e-05,0.001371571072319202,0.001303366272700108,st_svgp_annual,3
1,8019,0.0002666345521658588,0.005985783763561541,0.005719149211395682,st_svgp_annual,3
2,8019,0.0006694137138887005,0.0074822297044519264,0.006812815990563226,st_svgp_annual,3
3,8019,0.0015145274218648756,0.015089163237311385,0.013574635815446509,st_svgp_annual,3
4,8019,0.003322456681521128,0.028557176705324854,0.025234720023803725,st_svgp_annual,3
5,8019,0.0072117647614732315,0.04140167103130066,0.03418990626982742,st_svgp_annual,3
6,8019,0.015544252937777487,0.05686494575383464,0.04132069281605715,st_svgp_annual,3
7,8019,0.03326349384763578,0.07981045018082056,0.04654695633318478,st_svgp_annual,3
8,8019,0.07513484562993408,0.08754208754208755,0.012407241912153463,st_svgp_annual,3
9,8020,0.25248310771287025,0.12493765586034913,0.1275454518525211,st_svgp_annual,3
