fold,iteration,elbo_stochastic,natural_gradient_gamma,minimum_site_precision_eigenvalue,gradient_global_norm,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,temporal_lengthscale_trainable,kernel_variance,linear_intercept,elapsed_seconds
1,0,-219798.20924726597,0.01,0.0009900000756746573,196740.29901392575,2.002000983824504,2.002000983702679,7.492503820234345,True,0.999000510370724,-0.000999992911244739,0.6226524580270052
1,50,-273570.78192004777,0.01,10.543513790324294,91878.1297224504,2.104512986211009,2.104912834516099,7.1492555831488405,True,0.9479168047547571,-0.03546489824870595,28.732041249983013
1,100,-233600.46933157108,0.01,16.29983479316606,58570.17441490036,2.214135404615204,2.214427836672873,6.823971653529064,True,0.8992323805179679,-0.0631328498062952,56.38475387496874
1,150,-232785.40629982107,0.01,21.747715964128396,84934.64923744393,2.3228128953130125,2.327137548752635,6.478195042029703,True,0.8576882484057596,-0.0904279467702655,83.54277904191986
1,200,-202798.48310942992,0.01,24.392802735601236,52314.23563518742,2.4333313733340147,2.436547032704678,6.16092337281467,True,0.8200177716049171,-0.10894447073868302,111.49444016697817
1,250,-184181.2679897573,0.01,21.118264605018272,51813.94750850347,2.542834443132234,2.549394108944501,5.8320282184546945,True,0.7864057525472505,-0.13994812429627493,138.9455787918996
1,300,-177567.12106398365,0.01,15.464288729252203,45246.85265138585,2.657199606242097,2.6609566402018614,5.518590447045145,True,0.757080536819401,-0.15214455720757836,166.9142569170799
1,350,-246065.07588452566,0.01,11.776062891680276,66820.7619881899,2.7436760709427355,2.773080168597396,5.249347172545563,True,0.73256373642058,-0.163883136051215,194.43418199988082
1,400,-199535.47831145863,0.01,8.325311928478719,71098.27908763076,2.8377128070402025,2.871917220573933,5.002680975747784,True,0.7115587365563996,-0.1686599280411355,222.33072366705164
1,450,-202144.90527706392,0.01,5.914988705842651,62549.430728503336,2.932123923204788,2.9679049527130132,4.767085731256296,True,0.6937026228477909,-0.18022017876707078,250.97129629203118
1,500,-191403.1704795867,0.01,4.3816023887245885,43421.33002387636,3.022045946843365,3.059855191645585,4.561496242583943,True,0.6780834749695033,-0.19745382044320217,279.1346896670293
1,550,-167067.0178821113,0.01,3.395541955242341,93951.11085026832,3.102376966202629,3.1486157228067775,4.3471685469133,True,0.666836020518486,-0.2068957264156862,306.93964866688475
1,600,-223514.01380305894,0.01,2.6760475907320025,34133.592488581075,3.1756974887444667,3.2409141280007487,4.183099365554023,True,0.653605663530144,-0.21338557883557813,335.04788212501444
1,650,-189080.2608391378,0.01,2.119579331229671,52314.12605469251,3.2578652799353183,3.3354043975672343,4.01287239484055,True,0.6418876319889374,-0.21883320339505066,362.7483755829744
1,700,-190235.7180632424,0.01,1.612651147122771,46817.86920791274,3.3270353876002963,3.411681594815475,3.8548569080951993,True,0.6328243923265691,-0.22933939356830024,390.8024666670244
1,750,-249665.00794261188,0.01,1.230055576545965,78869.8583282271,3.398411170852833,3.469858518609083,3.706667090710134,True,0.6264988426449302,-0.23664235880490112,420.5107586248778
1,800,-208213.04328773005,0.01,1.2310375244099088,52078.256861286485,3.455200326185615,3.537843606457651,3.5756868037268825,True,0.6196697513455072,-0.23411907478084645,448.73899641702883
1,850,-171367.82986105946,0.01,1.2934234559728999,60954.465432979574,3.5348339179434745,3.5948600955720074,3.4369605973033597,True,0.6125188489413114,-0.24480268401081393,476.7181950418744
