scope,fold,distance_context,feature,mean_absolute_shap,rank
overall,,,built_fraction_11x11_t,0.009305930602641888,7
overall,,,built_fraction_x_recent_growth_t,0.006166672171135564,8
overall,,,elevation_m,0.024309376002763543,4
overall,,,log_distance_to_built_m_t,0.02922341056903289,3
overall,,,log_population_density_t,0.03045273336283043,2
overall,,,ndbi_t,0.09955608073570589,1
overall,,,recent_local_growth_1y_t,0.015327532280328519,6
overall,,,savi_t,0.022682465845749348,5
overall,,,slope_degrees,0.005570574081323198,9
fold,1,,built_fraction_11x11_t,0.013968761639327792,7
fold,1,,built_fraction_x_recent_growth_t,0.005739140113525833,9
fold,1,,elevation_m,0.028302189876068574,4
fold,1,,log_distance_to_built_m_t,0.036534760315172735,2
fold,1,,log_population_density_t,0.03317645941150712,3
fold,1,,ndbi_t,0.11405004261590693,1
fold,1,,recent_local_growth_1y_t,0.01878971337261755,6
fold,1,,savi_t,0.021739219773239858,5
fold,1,,slope_degrees,0.006011714237697881,8
fold,2,,built_fraction_11x11_t,0.00679808750357543,8
fold,2,,built_fraction_x_recent_growth_t,0.007604365854069682,7
fold,2,,elevation_m,0.02139958906447053,5
fold,2,,log_distance_to_built_m_t,0.026015851104359007,4
fold,2,,log_population_density_t,0.03225471353740872,2
fold,2,,ndbi_t,0.09979207816441968,1
fold,2,,recent_local_growth_1y_t,0.016113736845630874,6
fold,2,,savi_t,0.026227016034119234,3
fold,2,,slope_degrees,0.005496721880190411,9
fold,3,,built_fraction_11x11_t,0.007150942665022431,7
fold,3,,built_fraction_x_recent_growth_t,0.005156510545811175,9
fold,3,,elevation_m,0.023226349067751527,4
fold,3,,log_distance_to_built_m_t,0.02511962028756694,3
fold,3,,log_population_density_t,0.025927027139575454,2
fold,3,,ndbi_t,0.08482612142679102,1
fold,3,,recent_local_growth_1y_t,0.011079146622737127,6
fold,3,,savi_t,0.02008116172988896,5
fold,3,,slope_degrees,0.005203286126081301,8
distance_context,,near_built,built_fraction_11x11_t,0.007408640308681666,8
distance_context,,near_built,built_fraction_x_recent_growth_t,0.008027821638007759,7
distance_context,,near_built,elevation_m,0.026090300341725922,3
distance_context,,near_built,log_distance_to_built_m_t,0.022756735538099038,4
distance_context,,near_built,log_population_density_t,0.0359083409509668,2
distance_context,,near_built,ndbi_t,0.11555167133700027,1
distance_context,,near_built,recent_local_growth_1y_t,0.01908813563378663,6
distance_context,,near_built,savi_t,0.022111895227446717,5
distance_context,,near_built,slope_degrees,0.005846422375379991,9
