scope,fold,distance_context,feature,mean_absolute_shap,rank
overall,,,built_fraction_11x11_t,0.007987062004955916,8
overall,,,built_fraction_x_recent_growth_t,0.003796746460213846,9
overall,,,elevation_m,0.04597971979763093,3
overall,,,log_distance_to_built_m_t,0.04197208398092474,4
overall,,,log_population_density_t,0.08856397388933174,2
overall,,,ndbi_t,0.11688951609055348,1
overall,,,recent_local_growth_5y_t,0.015593832858048712,5
overall,,,savi_t,0.012850595000706557,6
overall,,,slope_degrees,0.011883610935659948,7
fold,1,,built_fraction_11x11_t,0.009799457732277778,6
fold,1,,built_fraction_x_recent_growth_t,0.000320812785465783,9
fold,1,,elevation_m,0.04318888138787573,4
fold,1,,log_distance_to_built_m_t,0.04593764404537105,3
fold,1,,log_population_density_t,0.12088250587352374,1
fold,1,,ndbi_t,0.09872811871409112,2
fold,1,,recent_local_growth_5y_t,0.00032766932555502244,8
fold,1,,savi_t,0.0007805104973661368,7
fold,1,,slope_degrees,0.015216027853539,5
fold,2,,built_fraction_11x11_t,0.008517612128175749,9
fold,2,,built_fraction_x_recent_growth_t,0.009776758008887425,8
fold,2,,elevation_m,0.05445050001126032,3
fold,2,,log_distance_to_built_m_t,0.0457418757742433,4
fold,2,,log_population_density_t,0.0752404242736225,2
fold,2,,ndbi_t,0.14549014366329993,1
fold,2,,recent_local_growth_5y_t,0.03031759071550131,5
fold,2,,savi_t,0.02102266257498259,6
fold,2,,slope_degrees,0.01039651668878447,7
fold,3,,built_fraction_11x11_t,0.005644116154414224,8
fold,3,,built_fraction_x_recent_growth_t,0.001292668586288332,9
fold,3,,elevation_m,0.04029977799375672,3
fold,3,,log_distance_to_built_m_t,0.034236732123159835,4
fold,3,,log_population_density_t,0.06956899152084896,2
fold,3,,ndbi_t,0.10645028589426939,1
fold,3,,recent_local_growth_5y_t,0.016136238533089795,6
fold,3,,savi_t,0.01674861192977095,5
fold,3,,slope_degrees,0.010038288264656378,7
distance_context,,near_built,built_fraction_11x11_t,0.007624211701134357,8
distance_context,,near_built,built_fraction_x_recent_growth_t,0.004604098694536238,9
distance_context,,near_built,elevation_m,0.04677029820868899,3
distance_context,,near_built,log_distance_to_built_m_t,0.034399206279231084,4
distance_context,,near_built,log_population_density_t,0.09600284054808686,2
distance_context,,near_built,ndbi_t,0.12139441955149947,1
distance_context,,near_built,recent_local_growth_5y_t,0.014083650783065548,6
distance_context,,near_built,savi_t,0.014940931807502396,5
distance_context,,near_built,slope_degrees,0.012149368475144022,7
distance_context,,peripheral,built_fraction_11x11_t,0.008349912308777479,8
distance_context,,peripheral,built_fraction_x_recent_growth_t,0.0029893942258914547,9
distance_context,,peripheral,elevation_m,0.04518914138657288,4
distance_context,,peripheral,log_distance_to_built_m_t,0.04954496168261839,3
distance_context,,peripheral,log_population_density_t,0.08112510723057662,2
distance_context,,peripheral,ndbi_t,0.1123846126296075,1
distance_context,,peripheral,recent_local_growth_5y_t,0.017104014933031875,5
distance_context,,peripheral,savi_t,0.01076025819391072,7
distance_context,,peripheral,slope_degrees,0.01161785339617588,6
fold_x_distance_context,1,near_built,built_fraction_11x11_t,0.00856658798513962,6
fold_x_distance_context,1,near_built,built_fraction_x_recent_growth_t,0.0002996792764597243,8
fold_x_distance_context,1,near_built,elevation_m,0.045128595971947946,3
fold_x_distance_context,1,near_built,log_distance_to_built_m_t,0.03121664523873387,4
fold_x_distance_context,1,near_built,log_population_density_t,0.14295495326539745,1
fold_x_distance_context,1,near_built,ndbi_t,0.07572140328563955,2
