bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,fold,validation_origin
0,16895,0.03860361015289268,0.007161882213672684,0.031441727939219996,1,2005
1,16894,0.0680356339024177,0.01012193678228957,0.05791369712012812,1,2005
2,16895,0.0970778076128616,0.017934300088783665,0.07914350752407794,1,2005
3,16894,0.13792254225262088,0.032733514857345804,0.10518902739527508,1,2005
4,16895,0.19683510369960217,0.06445693992305415,0.132378163776548,1,2005
5,16894,0.27914063269911743,0.1369717059310998,0.14216892676801762,1,2005
6,16894,0.38665337660389654,0.22422161714218067,0.16243175946171587,1,2005
7,16895,0.5140869457382973,0.34294169872743413,0.17114524701086314,1,2005
8,16894,0.6430528786425865,0.47780277021427725,0.16525010842830928,1,2005
9,16895,0.7768421073407745,0.684758804379994,0.09208330296078049,1,2005
0,14020,0.056446171414093714,0.010057061340941512,0.046389110073152204,2,2010
1,14019,0.10482887509561842,0.006990512875383408,0.09783836222023501,2,2010
2,14019,0.16156542401411775,0.007632498751694129,0.1539329252624236,2,2010
3,14020,0.23145463402091995,0.01818830242510699,0.21326633159581296,2,2010
4,14019,0.31615234558436667,0.030529995006776518,0.28562235057759017,2,2010
5,14019,0.41502804636470575,0.05150153363292674,0.363526512731779,2,2010
6,14020,0.5224075149390325,0.08851640513552068,0.4338911098035118,2,2010
7,14019,0.6320334754077289,0.14416149511377416,0.48787198029395473,2,2010
8,14019,0.7371633620752778,0.23810542834724302,0.49905793372803475,2,2010
9,14020,0.8439954530922587,0.432453637660485,0.41154181543177365,2,2010
0,12771,0.01199090432523757,0.05723905723905724,0.04524815291381967,3,2015
1,12771,0.02245005311399537,0.0909873933129747,0.06853734019897934,3,2015
2,12770,0.0359882268755332,0.15168363351605324,0.11569540664052004,3,2015
3,12771,0.05531408881065959,0.21971654529794066,0.16440245648728108,3,2015
4,12770,0.08221680911486447,0.2975724353954581,0.21535562628059363,3,2015
5,12771,0.11960137920166371,0.36856941508104296,0.24896803587937927,3,2015
6,12770,0.17071187354202672,0.43531714956930306,0.26460527602727635,3,2015
7,12771,0.2392100542457671,0.5126458382272335,0.2734357839814664,3,2015
8,12770,0.3314871480430673,0.6075176194205169,0.27603047137744957,3,2015
9,12771,0.4857751167826081,0.741053950356276,0.2552788335736679,3,2015
