bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,fold
0,16895,0.0862159974713206,0.007517016868896123,0.07869898060242447,1
1,16894,0.1116620650243954,0.010713862909908844,0.10094820211448655,1
2,16895,0.13222984859455827,0.021722403077833678,0.11050744551672459,1
3,16894,0.15919186958031667,0.040191784065348644,0.11900008551496802,1
4,16895,0.20305304003823751,0.10145013317549571,0.1016029068627418,1
5,16894,0.2745935130069224,0.13856990647567183,0.1360236065312506,1
6,16894,0.3658269742025036,0.2013732686160767,0.16445370558642688,1
7,16895,0.4682784706980352,0.3177863273157739,0.1504921433822613,1
8,16894,0.577745859515276,0.48384041671599387,0.09390544279928215,1
9,16895,0.7094709157273416,0.675939627108612,0.03353128861872956,1
0,14020,0.07626365871552628,0.010413694721825963,0.06584996399370031,2
1,14019,0.11029828142376615,0.008060489335901276,0.10223779208786488,2
2,14019,0.14415256657905845,0.01091375989728226,0.13323880668177618,2
3,14020,0.1888620063194875,0.020114122681883024,0.16874788363760446,2
4,14019,0.24670295360973724,0.030315999714672946,0.2163869538950643,2
5,14019,0.3214240551177696,0.04900492189171838,0.2724191332260512,2
6,14020,0.4165044075816062,0.08666191155492155,0.32984249602668464,2
7,14019,0.5276839774131469,0.13866894928311577,0.3890150281300311,2
8,14019,0.6483175094129866,0.24103003067265855,0.40728747874032806,2
9,14020,0.7774465857745918,0.43295292439372324,0.34449366138086857,2
0,12771,0.0441044553761094,0.09560723514211886,0.051502779766009456,3
1,12771,0.058822315549427615,0.10680447889750215,0.047982163348074536,3
2,12770,0.07295520682713438,0.1447141738449491,0.07175896701781473,3
3,12771,0.09206759119199966,0.16858507556181976,0.0765174843698201,3
4,12770,0.11708502922390902,0.2572435395458105,0.14015851032190146,3
5,12771,0.15147040322657507,0.3855610367238274,0.23409063349725234,3
6,12770,0.19662955025139506,0.48770555990602976,0.2910760096546347,3
7,12771,0.2563456110805028,0.5404431916059823,0.2840975805254795,3
8,12770,0.3247060215580529,0.5877838684416602,0.2630778468836073,3
9,12771,0.4198800150140806,0.7078537311095451,0.28797371609546446,3
