bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,fold
0,16895,0.08577721273836898,0.007694584196507843,0.07808262854186114,1
1,16894,0.1087983715156874,0.01100982597371848,0.09778854554196892,1
2,16895,0.128916741749721,0.022846996152707903,0.1060697455970131,1
3,16894,0.15640332379929764,0.041553214158872975,0.11485010964042466,1
4,16895,0.20084707013210906,0.09843148860609648,0.10241558152601259,1
5,16894,0.27190461098562124,0.1350183497099562,0.13688626127566506,1
6,16894,0.36265727452297836,0.2078252634071268,0.15483201111585157,1
7,16895,0.4658986364729696,0.31731281444214265,0.14858582203082693,1
8,16894,0.577046871464027,0.477210844086658,0.09983602737736902,1
9,16895,0.7042354920870738,0.6802012429712933,0.02403424911578056,1
0,14020,0.07475571190651384,0.009700427960057061,0.06505528394645678,2
1,14019,0.10667161603539074,0.008987802268350097,0.09768381376704065,2
2,14019,0.13897132332718348,0.010699764605178685,0.1282715587220048,2
3,14020,0.18244939452188672,0.019329529243937233,0.16311986527794947,2
4,14019,0.23935199014635772,0.03060132677081104,0.20875066337554668,2
5,14019,0.3141563669536923,0.04900492189171838,0.2651514450619739,2
6,14020,0.41114637486944866,0.08651925820256776,0.32462711666688093,2
7,14019,0.5240519488280438,0.14052357514801342,0.38352837368003045,2
8,14019,0.6452626588979098,0.23753477423496683,0.40772788466294296,2
9,14020,0.7738153826578198,0.43523537803138374,0.33858000462643606,2
0,12771,0.043988380368491814,0.09639025918095685,0.05240187881246504,3
1,12771,0.05898870993267023,0.10868373659071333,0.049695026658043095,3
2,12770,0.07347695462423184,0.13429913860610806,0.06082218398187622,3
3,12771,0.09254896577828904,0.16631430584918958,0.07376534007090053,3
4,12770,0.11814578310728727,0.26366483946750197,0.1455190563602147,3
5,12771,0.15338720225025834,0.39159032182287995,0.2382031195726216,3
6,12770,0.20021736793505931,0.4802662490211433,0.28004888108608395,3
7,12771,0.26142843656411663,0.5361365593923734,0.27470812282825674,3
8,12770,0.33192007255768907,0.5870790916209867,0.25515901906329763,3
9,12771,0.4252725525326498,0.7178764388066714,0.2926038862740216,3
