bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,fold
0,16895,0.08577720747246884,0.007694584196507843,0.078082623275961,1
1,16894,0.10879836641618088,0.01100982597371848,0.0977885404424624,1
2,16895,0.12891673854811017,0.022846996152707903,0.10606974239540226,1
3,16894,0.15640331997830614,0.041553214158872975,0.11485010581943317,1
4,16895,0.20084706379591838,0.09843148860609648,0.1024155751898219,1
5,16894,0.27190460239632874,0.1350183497099562,0.13688625268637256,1
6,16894,0.36265726178104785,0.2078252634071268,0.15483199837392106,1
7,16895,0.4658986267746465,0.31731281444214265,0.14858581233250384,1
8,16894,0.5770468676536199,0.477210844086658,0.09983602356696192,1
9,16895,0.7042354920835459,0.6802012429712933,0.024034249112252604,1
0,14020,0.07478525039199181,0.009771754636233951,0.06501349575575786,2
1,14019,0.10715259847735634,0.008702475212211997,0.09845012326514434,2
2,14019,0.14006079181128472,0.01091375989728226,0.12914703191400245,2
3,14020,0.18414010425203198,0.019686162624821684,0.1644539416272103,2
4,14019,0.2414704868482943,0.030173336186603894,0.2112971506616904,2
5,14019,0.31615286279578414,0.0496469077680291,0.26650595502775504,2
6,14020,0.4121952765168205,0.08537803138373752,0.32681724513308297,2
7,14019,0.5231070699042282,0.1428061915971182,0.38030087830711,2
8,14019,0.6420763681045281,0.2333975319209644,0.40867883618356365,2
9,14020,0.7645621151709863,0.437660485021398,0.3269016301495883,2
0,12771,0.042464383520846936,0.09599874716153786,0.053534363640690925,3
1,12771,0.05740693292239476,0.10750920053245634,0.050102267610061584,3
2,12770,0.0720744003231813,0.13531714956930305,0.06324274924612175,3
3,12771,0.09155722363654994,0.16521807219481638,0.07366084855826643,3
4,12770,0.11780201167089918,0.26695379796397806,0.14915178629307888,3
5,12771,0.15405012939626148,0.39284316028502075,0.23879303088875928,3
6,12770,0.2025559534107976,0.4793265465935787,0.2767705931827811,3
7,12771,0.2660974920118026,0.5360582569884895,0.2699607649766869,3
8,12770,0.3394864345282993,0.5881754111198121,0.2486889765915128,3
9,12771,0.43526181196160196,0.7149009474590869,0.279639135497485,3
