run,iteration,minibatch_elbo,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance
fold_1,1,-195116.78125,2.0,2.0,1.0,0.9993680119514465
fold_1,100,-151100.828125,2.11071515083313,2.1102967262268066,1.0,0.9429453611373901
fold_1,200,-125655.7890625,2.2249767780303955,2.233980178833008,1.0,0.9031310081481934
fold_1,300,-105982.328125,2.328141927719116,2.336087465286255,1.0,0.8681161403656006
fold_1,400,-97699.40625,2.4197402000427246,2.4363183975219727,1.0,0.850973904132843
fold_1,500,-73879.171875,2.510998249053955,2.5250656604766846,1.0,0.8296981453895569
fold_1,600,-85078.7109375,2.584263324737549,2.606398344039917,1.0,0.8225937485694885
fold_1,700,-61748.09375,2.6610896587371826,2.680659770965576,1.0,0.8077589273452759
fold_1,800,-75326.1796875,2.722393274307251,2.7486026287078857,1.0,0.8051810264587402
fold_1,900,-42764.6875,2.786736249923706,2.81060528755188,1.0,0.7928785085678101
fold_1,1000,-70638.09375,2.8404953479766846,2.8691461086273193,1.0,0.7922046184539795
fold_2,1,-361979.375,2.0,2.0,1.0,0.9993680119514465
fold_2,100,-263868.0625,2.114579200744629,2.1097137928009033,1.0481313467025757,0.9430898427963257
fold_2,200,-210208.859375,2.2269270420074463,2.227604866027832,1.1654059886932373,0.9045589566230774
fold_2,300,-155626.015625,2.3449926376342773,2.342651605606079,1.308834195137024,0.876859188079834
fold_2,400,-181947.171875,2.4254062175750732,2.431258201599121,1.3651334047317505,0.8566028475761414
fold_2,500,-108910.6484375,2.5027382373809814,2.5047149658203125,1.3651965856552124,0.8285579681396484
fold_2,600,-199084.34375,2.5734105110168457,2.573704719543457,1.4043749570846558,0.8173350691795349
fold_2,700,-95376.6015625,2.6402041912078857,2.637962818145752,1.4618163108825684,0.8121764063835144
fold_2,800,-162243.90625,2.7024264335632324,2.703218936920166,1.4693673849105835,0.7916648387908936
fold_2,900,-127223.078125,2.7555153369903564,2.749295949935913,1.476413369178772,0.7803230285644531
fold_2,1000,-112292.6640625,2.80995512008667,2.7973451614379883,1.5089013576507568,0.767621636390686
fold_3,1,-500346.03125,2.0,2.0,1.0,0.9993680119514465
fold_3,100,-354404.96875,2.111931324005127,2.1137819290161133,1.0536720752716064,0.9429318904876709
fold_3,200,-274439.25,2.230592966079712,2.230828285217285,1.1724822521209717,0.9051752090454102
fold_3,300,-204601.78125,2.3404483795166016,2.3456153869628906,1.3201876878738403,0.8762810826301575
fold_3,400,-239684.015625,2.454357385635376,2.4641289710998535,1.4727944135665894,0.8652114272117615
fold_3,500,-256106.234375,2.5537633895874023,2.5605971813201904,1.5742859840393066,0.868965208530426
fold_3,600,-191111.75,2.6068272590637207,2.6109745502471924,1.5762306451797485,0.8262205123901367
fold_3,700,-196728.296875,2.651597261428833,2.6573963165283203,1.5811548233032227,0.8074559569358826
fold_3,800,-136297.328125,2.6926703453063965,2.7046010494232178,1.5964027643203735,0.7879995107650757
fold_3,900,-150287.421875,2.7646725177764893,2.7836315631866455,1.6488635540008545,0.7979474663734436
fold_3,1000,-180345.0625,2.8208329677581787,2.837636709213257,1.6900635957717896,0.8039495944976807
final_fit,1,-626484.125,2.0,2.0,1.0,0.9993680119514465
final_fit,100,-453170.40625,2.1104395389556885,2.109708309173584,1.0543098449707031,0.9431286454200745
final_fit,200,-345848.5,2.2117090225219727,2.222928524017334,1.1737444400787354,0.9023271799087524
final_fit,300,-273280.4375,2.333357095718384,2.340672731399536,1.3169012069702148,0.8732934594154358
final_fit,400,-299951.96875,2.4559218883514404,2.4665253162384033,1.4762680530548096,0.8606897592544556
final_fit,500,-361872.40625,2.5413787364959717,2.5592551231384277,1.575303554534912,0.8502336144447327
final_fit,600,-296673.1875,2.5842881202697754,2.5922770500183105,1.5438485145568848,0.8101521134376526
final_fit,700,-327188.21875,2.6434807777404785,2.6506123542785645,1.5414694547653198,0.776261031627655
final_fit,800,-230624.71875,2.6940221786499023,2.708191394805908,1.5436960458755493,0.7571343183517456
final_fit,900,-227315.75,2.7468488216400146,2.75406813621521,1.5572521686553955,0.7399012446403503
final_fit,1000,-248028.0,2.8167853355407715,2.825169086456299,1.6036161184310913,0.748336672782898
final_fit,1100,-285634.75,2.888669013977051,2.8916635513305664,1.645107388496399,0.7591014504432678
final_fit,1200,-288652.875,2.9169423580169678,2.901538372039795,1.4942986965179443,0.7349926233291626
